Date,Open,High,Low,Close Price,Prev Close Price,Volume
2017-03-29,35.52,35.700001,35.439999,35.57,35.599998,17109000
2017-03-28,35.34,35.709999,35.209999,35.599998,35.389999,18394800
2017-03-27,35.07,35.50,34.939999,35.389999,35.16,16986300
2017-03-24,35.650002,35.73,35.119999,35.16,35.27,22030600
2017-03-23,35.490002,35.490002,35.02,35.27,35.369999,20529600
2017-03-22,35.220001,35.459999,35.00,35.369999,35.040001,18704600
2017-03-21,35.59,35.599998,35.00,35.040001,35.43,22513700
2017-03-20,35.369999,35.630001,35.259998,35.43,35.27,16686200
2017-03-17,35.310001,35.330002,35.099998,35.27,35.139999,30446300
2017-03-16,35.169998,35.360001,35.07,35.139999,35.099998,19377700
2017-03-15,34.939999,35.169998,34.68,35.099998,35.18,27964300
2017-03-14,35.060001,35.23,34.66,35.18,35.16,28538100
2017-03-13,35.849998,36.040001,34.939999,35.16,35.91,52088500
2017-03-10,36.119999,36.299999,35.779999,35.91,35.82,24626400
2017-03-09,35.599998,35.939999,35.50,35.82,35.619999,23543100
2017-03-08,35.669998,35.900002,35.529999,35.619999,35.799999,20899400
2017-03-07,35.540001,35.799999,35.389999,35.799999,35.57,23337700
2017-03-06,35.790001,35.799999,35.419998,35.57,35.900002,24280300
2017-03-03,35.939999,36.09,35.669998,35.900002,35.91,17538100
2017-03-02,35.93,36.02,35.650002,35.91,35.93,23591200
2017-03-01,35.849998,36.099998,35.439999,35.93,36.200001,33969900
2017-02-28,36.419998,36.459999,36.00,36.200001,36.509998,24793100
2017-02-27,36.419998,36.68,36.27,36.509998,36.529999,14063400
2017-02-24,36.139999,36.529999,35.950001,36.529999,36.18,18515100
2017-02-23,36.240002,36.299999,35.900002,36.18,36.07,22509000
2017-02-22,36.34,36.400002,35.790001,36.07,36.52,29868400
2017-02-21,36.529999,36.650002,36.330002,36.52,36.48,20542400
2017-02-17,36.32,36.48,36.099998,36.48,36.41,18712800
2017-02-16,36.18,36.560001,36.099998,36.41,36.049999,21181700
2017-02-15,35.98,36.060001,35.669998,36.049999,35.93,18364200
2017-02-14,35.84,35.959999,35.529999,35.93,35.799999,25725100
2017-02-13,35.57,35.849998,35.34,35.799999,35.34,28180600
2017-02-10,35.259998,35.43,34.84,35.34,35.459999,44106500
2017-02-09,36.50,36.50,35.400002,35.459999,36.380001,47802700
2017-02-08,36.34,36.650002,36.139999,36.380001,36.349998,20807400
2017-02-07,36.450001,36.52,36.240002,36.349998,36.27,18581900
2017-02-06,36.509998,36.509998,36.150002,36.27,36.52,21427000
2017-02-03,36.689999,36.82,36.450001,36.52,36.68,21038100
2017-02-02,36.259998,36.700001,36.200001,36.68,36.52,31916900
2017-02-01,36.82,36.950001,36.02,36.52,36.82,28380600
2017-01-31,37.220001,37.369999,36.639999,36.82,37.419998,27059100
2017-01-30,37.740002,37.84,37.330002,37.419998,37.98,23954700
2017-01-27,38.00,38.450001,37.810001,37.98,37.560001,44368600
2017-01-26,37.82,37.919998,37.419998,37.560001,37.799999,34144800
2017-01-25,37.869999,38.00,37.52,37.799999,37.619999,32276400
2017-01-24,36.84,37.740002,36.810001,37.619999,36.77,35140900
2017-01-23,37.07,37.209999,36.549999,36.77,36.939999,27752600
2017-01-20,36.759998,37.029999,36.580002,36.939999,36.57,23950900
2017-01-19,36.509998,36.91,36.509998,36.57,36.759998,13654500
2017-01-18,36.889999,37.009998,36.610001,36.759998,36.799999,15382500
2017-01-17,36.669998,36.830002,36.59,36.799999,36.790001,20195200
2017-01-13,36.709999,36.860001,36.619999,36.790001,36.709999,15072200
2017-01-12,36.830002,36.830002,36.32,36.709999,36.950001,20391900
2017-01-11,36.509998,37.00,36.509998,36.950001,36.540001,22398400
2017-01-10,36.549999,36.93,36.529999,36.540001,36.610001,15918800
2017-01-09,36.48,36.889999,36.48,36.610001,36.48,19449400
2017-01-06,36.59,36.68,36.189999,36.48,36.349998,15114000
2017-01-05,36.450001,36.720001,36.310001,36.349998,36.41,13986000
2017-01-04,36.709999,36.77,36.34,36.41,36.599998,15915700
2017-01-03,36.610001,36.93,36.27,36.599998,36.27,20196500
2016-12-30,36.790001,36.799999,36.200001,36.27,36.66,17468000
2016-12-29,36.509998,36.720001,36.43,36.66,36.630001,8447300
2016-12-28,37.099998,37.200001,36.580002,36.630001,37.07,12868600
2016-12-27,36.91,37.330002,36.91,37.07,36.970001,9033700
2016-12-23,36.93,36.98,36.77,36.970001,36.93,6287300
2016-12-22,37.23,37.240002,36.810001,36.93,36.98,10793900
2016-12-21,37.25,37.349998,36.91,36.98,37.209999,14323600
2016-12-20,36.950001,37.240002,36.889999,37.209999,36.889999,18551800
2016-12-19,36.34,36.950001,36.27,36.889999,36.310001,18744300
2016-12-16,36.720001,36.869999,36.09,36.310001,36.790001,38212800
2016-12-15,36.740002,37.16,36.529999,36.790001,36.549999,23721500
2016-12-14,36.700001,36.889999,36.459999,36.549999,36.799999,30819400
2016-12-13,36.009998,36.889999,35.93,36.799999,35.970001,35773600
2016-12-12,35.779999,36.09,35.669998,35.970001,35.759998,21985800
2016-12-09,35.75,35.900002,35.59,35.759998,35.700001,16326900
2016-12-08,35.48,36.029999,35.220001,35.700001,35.50,19966500
2016-12-07,34.669998,35.57,34.450001,35.50,34.720001,21710300
2016-12-06,34.389999,34.75,34.299999,34.720001,34.389999,15297700
2016-12-05,34.310001,34.419998,33.970001,34.389999,34.16,14462000
2016-12-02,33.720001,34.259998,33.599998,34.16,33.759998,21492500
2016-12-01,34.860001,34.93,33.560001,33.759998,34.700001,29618700
2016-11-30,35.200001,35.299999,34.700001,34.700001,35.310001,27016100
2016-11-29,35.639999,35.639999,35.27,35.310001,35.509998,19581000
2016-11-28,35.43,35.66,35.209999,35.509998,35.439999,13549000
2016-11-25,35.110001,35.450001,35.110001,35.439999,35.200001,6372800
2016-11-23,35.48,35.52,35.099998,35.200001,35.48,15843100
2016-11-22,35.18,35.50,35.110001,35.48,34.98,22327400
2016-11-21,35.099998,35.200001,34.84,34.98,34.950001,14259500
2016-11-18,34.900002,35.00,34.639999,34.950001,35.02,16806900
2016-11-17,34.810001,35.02,34.630001,35.02,34.84,15748500
2016-11-16,34.900002,34.919998,34.540001,34.84,34.91,18565500
2016-11-15,34.639999,35.290001,34.610001,34.91,34.48,20676100
2016-11-14,34.560001,34.73,34.200001,34.48,34.610001,22558900
2016-11-11,34.57,34.869999,34.34,34.610001,34.50,22665000
2016-11-10,34.950001,34.950001,34.029999,34.50,34.75,28249900
2016-11-09,34.130001,34.849998,33.669998,34.75,34.740002,25999400
2016-11-08,34.599998,34.950001,34.490002,34.740002,34.689999,14833100
2016-11-07,34.240002,34.75,34.150002,34.689999,33.610001,19296600
2016-11-04,33.529999,33.93,33.419998,33.610001,33.93,21914700
2016-11-03,34.450001,34.52,33.869999,33.93,34.599998,19400000
2016-11-02,34.599998,34.900002,34.470001,34.599998,34.52,21416400
2016-11-01,34.900002,35.16,34.27,34.52,34.869999,25368200
2016-10-31,34.919998,35.080002,34.84,34.869999,34.740002,19188600
2016-10-28,34.869999,35.169998,34.709999,34.740002,34.810001,22296400
2016-10-27,35.099998,35.23,34.75,34.810001,34.919998,14634700
2016-10-26,35.040001,35.209999,34.740002,34.919998,35.099998,19977600
2016-10-25,35.139999,35.25,35.009998,35.099998,35.259998,17860300
2016-10-24,35.43,35.490002,35.110001,35.259998,35.150002,21524700
2016-10-21,35.209999,35.400002,34.810001,35.150002,35.43,20813200
