Date,Open,High,Low,Close Price,Prev Close Price,Volume
2017-03-30,65.419998,65.980003,65.360001,65.709999,65.470001,15100400
2017-03-29,65.120003,65.50,64.949997,65.470001,65.290001,13512400
2017-03-28,64.959999,65.470001,64.650002,65.290001,65.099998,20039300
2017-03-27,64.629997,65.220001,64.349998,65.099998,64.980003,18550200
2017-03-24,65.360001,65.449997,64.760002,64.980003,64.870003,22373200
2017-03-23,64.940002,65.239998,64.769997,64.870003,65.029999,18819600
2017-03-22,64.120003,65.139999,64.120003,65.029999,64.209999,20632800
2017-03-21,65.190002,65.50,64.129997,64.209999,64.93,26191800
2017-03-20,64.910004,65.18,64.720001,64.93,64.870003,12744200
2017-03-17,64.910004,65.239998,64.68,64.870003,64.639999,48994700
2017-03-16,64.75,64.760002,64.300003,64.639999,64.75,20532600
2017-03-15,64.550003,64.919998,64.25,64.75,64.410004,20501900
2017-03-14,64.529999,64.550003,64.150002,64.410004,64.709999,14263700
2017-03-13,65.010002,65.190002,64.57,64.709999,64.93,19551800
2017-03-10,65.110001,65.260002,64.75,64.93,64.730003,19528300
2017-03-09,65.190002,65.199997,64.480003,64.730003,64.989998,19772700
2017-03-08,64.260002,65.080002,64.25,64.989998,64.400002,20961700
2017-03-07,64.190002,64.779999,64.190002,64.400002,64.269997,18300700
2017-03-06,63.970001,64.559998,63.810001,64.269997,64.25,17487700
2017-03-03,63.990002,64.279999,63.619999,64.25,64.010002,18135900
2017-03-02,64.690002,64.75,63.880001,64.010002,64.940002,24510900
2017-03-01,64.129997,64.989998,64.019997,64.940002,63.98,26763800
2017-02-28,64.080002,64.199997,63.759998,63.98,64.230003,23043900
2017-02-27,64.540001,64.540001,64.050003,64.230003,64.620003,15850400
2017-02-24,64.529999,64.800003,64.139999,64.620003,64.620003,21705200
2017-02-23,64.419998,64.730003,64.190002,64.620003,64.360001,20235200
2017-02-22,64.330002,64.389999,64.050003,64.360001,64.489998,19259700
2017-02-21,64.610001,64.949997,64.449997,64.489998,64.620003,19384900
2017-02-17,64.470001,64.690002,64.300003,64.620003,64.519997,21234600
2017-02-16,64.739998,65.239998,64.440002,64.519997,64.529999,20524700
2017-02-15,64.50,64.57,64.160004,64.529999,64.57,16917000
2017-02-14,64.410004,64.720001,64.019997,64.57,64.720001,23065900
2017-02-13,64.239998,64.860001,64.129997,64.720001,64.00,22920100
2017-02-10,64.25,64.300003,63.98,64.00,64.059998,18170700
2017-02-09,63.52,64.440002,63.32,64.059998,63.34,22644400
2017-02-08,63.57,63.810001,63.220001,63.34,63.43,18096400
2017-02-07,63.740002,63.779999,63.23,63.43,63.639999,20277200
2017-02-06,63.50,63.650002,63.139999,63.639999,63.68,19796400
2017-02-03,63.50,63.700001,63.07,63.68,63.169998,30301800
2017-02-02,63.25,63.41,62.75,63.169998,63.580002,45827000
2017-02-01,64.360001,64.620003,63.470001,63.580002,64.650002,39671500
2017-01-31,64.860001,65.150002,64.260002,64.650002,65.129997,25270500
2017-01-30,65.690002,65.790001,64.800003,65.129997,65.779999,31651400
2017-01-27,65.389999,65.910004,64.889999,65.779999,64.269997,44818000
2017-01-26,64.120003,64.540001,63.549999,64.269997,63.68,43554600
2017-01-25,63.950001,64.099998,63.450001,63.68,63.52,23672700
2017-01-24,63.200001,63.740002,62.939999,63.52,62.959999,24672900
2017-01-23,62.700001,63.119999,62.57,62.959999,62.740002,23097600
2017-01-20,62.669998,62.82,62.369999,62.740002,62.299999,30213500
2017-01-19,62.240002,62.98,62.200001,62.299999,62.50,18451700
2017-01-18,62.669998,62.700001,62.119999,62.50,62.529999,19670100
2017-01-17,62.68,62.700001,62.029999,62.529999,62.700001,20664000
2017-01-13,62.619999,62.869999,62.349998,62.700001,62.610001,19422300
2017-01-12,63.060001,63.400002,61.950001,62.610001,63.189999,20968200
2017-01-11,62.610001,63.23,62.43,63.189999,62.619999,21517300
2017-01-10,62.73,63.07,62.279999,62.619999,62.639999,18593000
2017-01-09,62.759998,63.080002,62.540001,62.639999,62.84,20256600
2017-01-06,62.299999,63.150002,62.040001,62.84,62.299999,19922900
2017-01-05,62.189999,62.66,62.029999,62.299999,62.299999,24876000
2017-01-04,62.48,62.75,62.119999,62.299999,62.580002,21340000
2017-01-03,62.790001,62.84,62.130001,62.580002,62.139999,20694100
2016-12-30,62.959999,62.990002,62.029999,62.139999,62.900002,25579900
2016-12-29,62.860001,63.200001,62.73,62.900002,62.990002,10250600
2016-12-28,63.400002,63.400002,62.830002,62.990002,63.279999,14653300
2016-12-27,63.209999,64.07,63.209999,63.279999,63.240002,11763200
2016-12-23,63.450001,63.540001,62.799999,63.240002,63.549999,12403800
2016-12-22,63.84,64.099998,63.41,63.549999,63.540001,22176600
2016-12-21,63.43,63.700001,63.119999,63.540001,63.540001,17096300
2016-12-20,63.689999,63.799999,63.029999,63.540001,63.619999,26028400
2016-12-19,62.560001,63.77,62.419998,63.619999,62.299999,34338200
2016-12-16,62.950001,62.950001,62.119999,62.299999,62.580002,42453100
2016-12-15,62.700001,63.150002,62.299999,62.580002,62.68,27669900
2016-12-14,63.00,63.450001,62.529999,62.68,62.98,30352700
2016-12-13,62.50,63.419998,62.240002,62.98,62.169998,35718900
2016-12-12,61.82,62.299999,61.720001,62.169998,61.970001,20198100
2016-12-09,61.18,61.990002,61.130001,61.970001,61.009998,27349400
2016-12-08,61.299999,61.580002,60.84,61.009998,61.369999,21220800
2016-12-07,60.009998,61.380001,59.799999,61.369999,59.950001,30809000
2016-12-06,60.43,60.459999,59.799999,59.950001,60.220001,19907000
2016-12-05,59.700001,60.59,59.560001,60.220001,59.25,23552700
2016-12-02,59.080002,59.470001,58.799999,59.25,59.200001,25515700
2016-12-01,60.110001,60.150002,58.939999,59.200001,60.259998,34542100
2016-11-30,60.860001,61.18,60.220001,60.259998,61.09,34655400
2016-11-29,60.650002,61.41,60.52,61.09,60.610001,22366700
2016-11-28,60.34,61.02,60.209999,60.610001,60.529999,20732600
2016-11-25,60.299999,60.529999,60.130001,60.529999,60.400002,8409600
2016-11-23,61.009998,61.099998,60.25,60.400002,61.119999,21848900
2016-11-22,60.98,61.259998,60.810001,61.119999,60.860001,23206700
2016-11-21,60.50,60.970001,60.419998,60.860001,60.349998,19652600
2016-11-18,60.779999,61.139999,60.299999,60.349998,60.639999,27686300
2016-11-17,60.41,60.950001,59.970001,60.639999,59.650002,32132700
2016-11-16,58.939999,59.66,58.810001,59.650002,58.869999,27332500
2016-11-15,58.330002,59.490002,58.32,58.869999,58.119999,35904100
2016-11-14,59.02,59.080002,57.279999,58.119999,59.02,41328400
2016-11-11,58.23,59.119999,58.009998,59.02,58.700001,38767800
2016-11-10,60.48,60.490002,57.630001,58.700001,60.169998,57822400
2016-11-09,60.00,60.59,59.200001,60.169998,60.470001,49632500
2016-11-08,60.549999,60.779999,60.150002,60.470001,60.419998,22935400
2016-11-07,59.779999,60.52,59.779999,60.419998,58.709999,31664800
2016-11-04,58.650002,59.279999,58.52,58.709999,59.209999,28697000
2016-11-03,59.529999,59.639999,59.110001,59.209999,59.43,21600400
2016-11-02,59.82,59.93,59.299999,59.43,59.799999,22147000
2016-11-01,59.970001,60.02,59.25,59.799999,59.919998,24533000
2016-10-31,60.16,60.419998,59.919998,59.919998,59.869999,26434700
2016-10-28,60.009998,60.52,59.580002,59.869999,60.099998,33574700
2016-10-27,60.610001,60.830002,60.09,60.099998,60.630001,28479900
2016-10-26,60.810001,61.200001,60.470001,60.630001,60.990002,29911600
2016-10-25,60.849998,61.369999,60.799999,60.990002,61.00,35137200
2016-10-24,59.939999,61.00,59.93,61.00,59.66,54067000
2016-10-21,60.279999,60.450001,59.490002,59.66,57.25,80032200
2016-10-20,57.50,57.52,56.66,57.25,57.529999,49455600
2016-10-19,57.470001,57.84,57.400002,57.529999,57.66,22878400
2016-10-18,57.529999,57.950001,57.41,57.66,57.220001,19149500
2016-10-17,57.360001,57.459999,56.869999,57.220001,57.419998,23830000
2016-10-14,57.119999,57.740002,57.119999,57.419998,56.919998,27402500
2016-10-13,56.700001,57.299999,56.32,56.919998,57.110001,25313700
2016-10-12,57.110001,57.27,56.400002,57.110001,57.189999,22177500
2016-10-11,57.889999,58.02,56.889999,57.189999,58.040001,26497400
2016-10-10,57.91,58.389999,57.869999,58.040001,57.799999,18196500
2016-10-07,57.849998,57.98,57.419998,57.799999,57.740002,20089000
2016-10-06,57.740002,57.860001,57.279999,57.740002,57.639999,16212600
2016-10-05,57.290001,57.959999,57.259998,57.639999,57.240002,16726400
2016-10-04,57.27,57.599998,56.970001,57.240002,57.419998,20085900
2016-10-03,57.41,57.549999,57.060001,57.419998,57.599998,19189500
2016-09-30,57.57,57.77,57.34,57.599998,57.400002,29910800
2016-09-29,57.810001,58.169998,57.209999,57.400002,58.029999,25463500
2016-09-28,57.880001,58.060001,57.669998,58.029999,57.950001,20536400
2016-09-27,56.93,58.060001,56.68,57.950001,56.900002,28065100
2016-09-26,57.080002,57.139999,56.830002,56.900002,57.43,21688700
2016-09-23,57.869999,57.91,57.380001,57.43,57.82,19955300
2016-09-22,57.919998,58.00,57.630001,57.82,57.759998,19822200
2016-09-21,57.509998,57.849998,57.080002,57.759998,56.810001,33707300
2016-09-20,57.349998,57.349998,56.75,56.810001,56.93,17384000
2016-09-19,57.27,57.75,56.849998,56.93,57.25,20937100
2016-09-16,57.630001,57.630001,56.75,57.25,57.189999,44607000
2016-09-15,56.150002,57.349998,55.98,57.189999,56.259998,26847000
2016-09-14,56.389999,56.630001,56.029999,56.259998,56.529999,24062500
2016-09-13,56.50,56.650002,56.049999,56.529999,57.049999,30130200
2016-09-12,56.00,57.209999,55.610001,57.049999,56.209999,29303000
2016-09-09,56.790001,57.52,56.209999,56.209999,57.43,35113900
2016-09-08,57.630001,57.790001,57.18,57.43,57.66,20146100
2016-09-07,57.470001,57.84,57.41,57.66,57.610001,17493400
2016-09-06,57.779999,57.799999,57.209999,57.610001,57.669998,16278400
2016-09-02,57.669998,58.189999,57.419998,57.669998,57.59,18900500
2016-09-01,57.009998,57.82,57.009998,57.59,57.459999,26075400
2016-08-31,57.650002,57.799999,57.299999,57.459999,57.889999,20860300
2016-08-30,57.98,58.189999,57.610001,57.889999,58.099998,16930200
2016-08-29,58.18,58.599998,58.099998,58.099998,58.029999,16417200
2016-08-26,58.279999,58.700001,57.689999,58.029999,58.169998,20971200
2016-08-25,57.880001,58.290001,57.779999,58.169998,57.950001,18552600
2016-08-24,57.799999,58.040001,57.720001,57.950001,57.889999,18151500
2016-08-23,57.900002,58.18,57.849998,57.889999,57.669998,18732400
2016-08-22,57.599998,57.75,57.259998,57.669998,57.619999,15221900
2016-08-19,57.43,57.73,57.200001,57.619999,57.599998,17271000
2016-08-18,57.419998,57.700001,57.27,57.599998,57.560001,14214300
2016-08-17,57.540001,57.68,57.23,57.560001,57.439999,18856400
2016-08-16,57.610001,57.619999,57.27,57.439999,58.119999,20523500
