Date,Open,High,Low,Close Price,Prev Close Price,Volume
2017-03-31,148.00,148.229996,147.330002,147.809998,148.059998,3862800
2017-03-30,146.809998,148.289993,146.529999,148.059998,146.470001,4446700
2017-03-29,145.50,147.179993,144.910004,146.470001,145.169998,3846000
2017-03-28,144.100006,146.110001,143.919998,145.169998,144.059998,4633800
2017-03-27,140.830002,144.389999,140.00,144.059998,142.020004,4765700
2017-03-24,142.360001,142.800003,141.580002,142.020004,141.839996,3511800
2017-03-23,142.139999,142.889999,141.259995,141.839996,142.649994,3468500
2017-03-22,142.539993,143.800003,140.759995,142.649994,142.419998,6471500
2017-03-21,146.75,147.699997,142.100006,142.419998,145.830002,7632600
2017-03-20,145.449997,146.25,144.580002,145.830002,145.110001,3342000
2017-03-17,144.050003,145.759995,143.399994,145.110001,144.389999,6213400
2017-03-16,145.50,146.50,144.220001,144.389999,145.25,5243800
2017-03-15,144.199997,145.520004,143.229996,145.25,143.190002,5979400
2017-03-14,142.949997,143.309998,141.699997,143.190002,143.520004,4653100
2017-03-13,140.899994,143.710007,140.320007,143.520004,140.889999,4913000
2017-03-10,141.389999,141.800003,140.279999,140.889999,140.529999,3313100
2017-03-09,140.039993,141.240005,139.740005,140.529999,140.320007,2644500
2017-03-08,141.470001,142.059998,139.770004,140.320007,141.429993,4085500
2017-03-07,141.990005,142.399994,140.380005,141.429993,141.940002,4180200
2017-03-06,141.00,142.839996,140.539993,141.940002,139.139999,7107300
2017-03-03,139.690002,140.910004,138.259995,139.139999,139.529999,5399800
2017-03-02,142.149994,142.699997,139.089996,139.529999,142.649994,6110700
2017-03-01,142.839996,143.259995,142.100006,142.649994,142.130005,4156800
2017-02-28,143.300003,143.570007,141.850006,142.130005,143.410004,3823900
2017-02-27,143.119995,143.919998,142.380005,143.410004,143.25,3902500
2017-02-24,141.880005,143.559998,141.550003,143.25,142.779999,3288600
2017-02-23,144.449997,144.490005,141.520004,142.779999,143.860001,4657000
2017-02-22,142.919998,144.00,142.169998,143.860001,142.600006,3463000
2017-02-21,142.990005,143.380005,141.809998,142.600006,142.220001,3461800
2017-02-17,141.75,142.899994,141.270004,142.220001,142.009995,4574300
2017-02-16,142.419998,142.440002,141.070007,142.009995,142.270004,2839200
2017-02-15,140.720001,142.429993,140.509995,142.270004,140.820007,5274700
2017-02-14,143.199997,144.110001,140.050003,140.820007,143.199997,8355000
2017-02-13,145.190002,145.949997,143.050003,143.199997,144.820007,4781700
2017-02-10,144.679993,145.300003,143.970001,144.820007,144.139999,5528100
2017-02-09,144.979996,145.089996,143.580002,144.139999,144.740005,4543100
2017-02-08,143.570007,145.070007,142.559998,144.740005,144.00,6856100
2017-02-07,141.490005,144.279999,141.050003,144.00,140.970001,8514700
2017-02-06,140.00,141.00,139.160004,140.970001,140.25,3527600
2017-02-03,139.509995,140.639999,139.100006,140.25,139.199997,3504500
2017-02-02,140.610001,141.039993,139.050003,139.199997,140.779999,3443700
2017-02-01,141.199997,142.410004,139.300003,140.779999,140.710007,6013100
2017-01-31,140.550003,141.830002,139.699997,140.710007,141.220001,4361000
2017-01-30,141.770004,141.970001,138.800003,141.220001,142.449997,8104500
2017-01-27,139.460007,142.490005,139.00,142.449997,138.960007,8290200
2017-01-26,140.449997,141.210007,138.509995,138.960007,139.520004,6028400
2017-01-25,140.800003,141.389999,139.050003,139.520004,140.110001,7238100
2017-01-24,138.110001,140.929993,137.029999,140.110001,137.389999,7743200
2017-01-23,138.649994,139.490005,137.309998,137.389999,138.600006,7421000
2017-01-20,139.360001,140.789993,137.660004,138.600006,138.410004,9432700
2017-01-19,142.009995,143.460007,138.25,138.410004,133.259995,23163700
2017-01-18,133.210007,133.649994,131.059998,133.259995,132.889999,14666800
2017-01-17,135.039993,135.399994,132.089996,132.889999,133.699997,12183200
2017-01-13,131.149994,133.929993,130.580002,133.699997,129.179993,10479100
2017-01-12,130.630005,130.850006,128.50,129.179993,130.50,5383000
2017-01-11,130.910004,131.50,129.25,130.50,129.889999,5608000
2017-01-10,131.270004,132.220001,129.289993,129.889999,130.949997,5981800
2017-01-09,131.479996,131.990005,129.889999,130.949997,131.070007,5766900
2017-01-06,132.080002,133.880005,129.809998,131.070007,131.809998,10645000
2017-01-05,129.220001,132.75,128.899994,131.809998,129.410004,9646100
2017-01-04,127.489998,130.169998,126.550003,129.410004,127.489998,7821200
2017-01-03,124.959999,128.190002,124.309998,127.489998,123.800003,9421400
2016-12-30,126.239998,126.57,123.599998,123.800003,125.330002,4426500
2016-12-29,125.949997,126.139999,124.199997,125.330002,125.889999,3443700
2016-12-28,129.070007,129.070007,125.760002,125.889999,128.350006,4366700
2016-12-27,126.239998,129.050003,125.699997,128.350006,125.589996,5276200
2016-12-23,125.610001,126.279999,125.080002,125.589996,125.580002,2002100
2016-12-22,126.839996,127.50,125.18,125.580002,126.50,4160700
2016-12-21,125.529999,127.739998,125.00,126.50,125.120003,6497200
2016-12-20,125.459999,126.300003,124.639999,125.120003,125.449997,3932100
2016-12-19,124.300003,126.440002,122.870003,125.449997,124.220001,4828200
2016-12-16,126.389999,126.68,124.010002,124.220001,125.00,7821700
2016-12-15,123.440002,127.43,122.949997,125.00,123.440002,7372400
2016-12-14,123.43,124.400002,122.50,123.440002,123.779999,6065200
2016-12-13,123.510002,125.089996,122.779999,123.779999,122.830002,5523400
2016-12-12,122.839996,124.029999,122.300003,122.830002,122.879997,3906300
2016-12-09,123.779999,124.300003,121.730003,122.879997,123.239998,4694500
2016-12-08,125.400002,126.349998,122.160004,123.239998,125.389999,8982500
2016-12-07,124.480003,125.75,123.25,125.389999,124.57,8170100
2016-12-06,120.099998,124.790001,119.419998,124.57,119.160004,11476600
2016-12-05,120.730003,120.75,118.400002,119.160004,120.809998,7614400
2016-12-02,116.75,120.980003,116.75,120.809998,117.220001,8928900
2016-12-01,117.519997,118.68,113.949997,117.220001,117.00,8636900
2016-11-30,119.00,120.370003,116.389999,117.00,117.510002,7715100
2016-11-29,117.300003,119.18,117.129997,117.510002,116.93,7082300
2016-11-28,117.050003,117.620003,115.709999,116.93,117.410004,5278900
2016-11-25,117.639999,118.389999,117.18,117.410004,117.690002,1616300
2016-11-23,117.760002,118.889999,117.309998,117.690002,118.040001,4521300
2016-11-22,118.32,119.459999,116.980003,118.040001,117.959999,7007200
2016-11-21,116.199997,118.720001,116.190002,117.959999,115.209999,7064500
2016-11-18,115.730003,116.419998,113.510002,115.209999,115.029999,6746800
2016-11-17,115.129997,116.809998,113.559998,115.029999,115.190002,6232700
2016-11-16,112.959999,116.120003,111.809998,115.190002,113.589996,5933700
2016-11-15,114.550003,116.410004,113.089996,113.589996,113.379997,7445100
2016-11-14,114.75,115.900002,110.68,113.379997,114.779999,9932400
2016-11-11,114.900002,116.629997,113.110001,114.779999,115.419998,11070900
2016-11-10,122.760002,122.970001,113.699997,115.419998,122.190002,19718700
2016-11-09,121.839996,123.650002,120.860001,122.190002,124.339996,7705700
2016-11-08,124.120003,125.809998,123.220001,124.339996,124.580002,4667300
2016-11-07,124.260002,125.75,123.370003,124.580002,122.029999,5827100
2016-11-04,122.00,123.43,121.620003,122.029999,122.139999,5077700
2016-11-03,122.309998,123.720001,121.839996,122.139999,122.339996,5041300
2016-11-02,122.830002,124.07,121.830002,122.339996,123.300003,4816500
2016-11-01,124.980003,125.830002,121.800003,123.300003,124.870003,6978600
2016-10-31,126.849998,126.900002,124.400002,124.870003,126.57,6517500
2016-10-28,126.080002,128.929993,126.010002,126.57,126.470001,7077300
2016-10-27,127.43,128.179993,125.93,126.470001,126.970001,6914200
2016-10-26,126.290001,128.720001,125.75,126.970001,126.510002,8602400
2016-10-25,126.519997,128.059998,125.75,126.510002,127.330002,8253900
2016-10-24,127.419998,129.289993,126.150002,127.330002,127.50,15980700
2016-10-21,122.50,127.849998,122.309998,127.50,123.349998,18832400
2016-10-20,121.970001,123.75,121.059998,123.349998,121.870003,14492800
2016-10-19,118.25,122.449997,118.00,121.870003,118.790001,21981700
2016-10-18,116.629997,119.82,116.50,118.790001,99.800003,42168200
2016-10-17,100.50,100.730003,98.379997,99.800003,101.470001,26589500
2016-10-14,101.589996,102.099998,100.349998,101.470001,100.230003,9531100
2016-10-13,98.010002,100.50,97.629997,100.230003,99.50,8319300
2016-10-12,100.879997,102.470001,99.220001,99.50,100.589996,7426500
2016-10-11,102.309998,102.900002,99.860001,100.589996,103.330002,9032900
2016-10-10,103.18,104.529999,102.760002,103.330002,104.82,6699700
2016-10-07,103.980003,106.50,103.550003,104.82,105.07,8659500
2016-10-06,104.970001,105.470001,103.879997,105.07,106.279999,6587700
2016-10-05,103.50,106.970001,103.43,106.279999,102.339996,12942900
2016-10-04,103.190002,104.440002,101.860001,102.339996,102.629997,12143100
2016-10-03,98.00,103.389999,98.00,102.629997,98.550003,15344500
2016-09-30,96.900002,99.529999,96.790001,98.550003,96.669998,9807900
2016-09-29,97.309998,98.309998,96.599998,96.669998,97.480003,6217600
2016-09-28,97.099998,97.589996,96.019997,97.480003,97.07,7235100
2016-09-27,95.040001,97.639999,95.00,97.07,94.559998,9680100
2016-09-26,95.379997,95.379997,94.040001,94.559998,95.940002,6739200
2016-09-23,95.75,96.970001,95.43,95.940002,95.830002,6179500
2016-09-22,95.540001,95.879997,94.230003,95.830002,94.879997,11215000
2016-09-21,96.900002,97.099998,93.260002,94.879997,98.25,20042200
2016-09-20,98.779999,99.160004,97.660004,98.25,98.059998,4736800
2016-09-19,99.900002,100.349998,97.82,98.059998,99.480003,8616200
2016-09-16,97.099998,99.489998,97.040001,99.480003,97.339996,9445100
2016-09-15,97.230003,97.970001,96.529999,97.339996,97.010002,5293500
2016-09-14,97.349998,98.349998,96.959999,97.010002,96.089996,8481000
2016-09-13,97.169998,98.00,95.330002,96.089996,99.050003,11788100
2016-09-12,95.910004,99.290001,95.709999,99.050003,96.50,7718400
2016-09-09,99.059998,99.389999,96.50,96.50,99.660004,7373300
2016-09-08,99.230003,100.050003,98.82,99.660004,99.150002,5201200
2016-09-07,100.110001,100.190002,98.419998,99.150002,100.089996,6468500
2016-09-06,97.760002,100.32,97.650002,100.089996,97.379997,9036100
2016-09-02,97.900002,98.18,97.010002,97.379997,97.379997,4247200
2016-09-01,97.809998,97.980003,96.919998,97.379997,97.449997,4148600
2016-08-31,97.480003,97.879997,96.760002,97.449997,97.449997,4690600
2016-08-30,97.839996,98.849998,97.139999,97.449997,97.300003,6093500
2016-08-29,96.970001,98.449997,96.57,97.300003,97.580002,8008400
2016-08-26,97.330002,97.949997,96.57,97.580002,97.32,6617600
2016-08-25,96.379997,98.25,96.040001,97.32,95.18,10823100
2016-08-24,96.129997,96.360001,94.910004,95.18,95.940002,6276500
2016-08-23,95.68,96.589996,95.480003,95.940002,95.260002,5239100
2016-08-22,95.669998,96.129997,94.949997,95.260002,95.870003,5830500
2016-08-19,96.050003,96.779999,95.510002,95.870003,96.160004,6942900
2016-08-18,95.980003,97.220001,95.169998,96.160004,96.370003,7252600
2016-08-17,94.940002,96.93,94.849998,96.370003,95.120003,8315600
2016-08-16,95.190002,95.610001,94.400002,95.120003,95.309998,6311300
2016-08-15,96.830002,96.910004,95.239998,95.309998,96.589996,7304600
2016-08-12,95.529999,96.830002,95.080002,96.589996,95.889999,6592900
2016-08-11,94.599998,96.330002,94.370003,95.889999,93.93,8547700
2016-08-10,94.400002,94.75,92.949997,93.93,93.989998,6511100
2016-08-09,95.120003,95.809998,93.480003,93.989998,95.110001,9175400
2016-08-08,95.910004,95.93,94.00,95.110001,97.029999,10135400
2016-08-05,93.769997,97.739998,93.559998,97.029999,93.440002,18364800
2016-08-04,93.199997,93.730003,91.82,93.440002,93.099998,6043400
2016-08-03,93.279999,94.669998,92.550003,93.099998,93.559998,7030900
2016-08-02,94.00,94.080002,92.18,93.559998,94.370003,9836200
2016-08-01,91.230003,94.669998,90.50,94.370003,91.25,10666900
2016-07-29,91.190002,91.75,90.589996,91.25,91.650002,6960200
2016-07-28,91.919998,92.209999,90.68,91.650002,92.040001,6227700
2016-07-27,91.50,92.059998,90.099998,92.040001,91.410004,8727500
2016-07-26,91.029999,93.099998,90.900002,91.410004,87.660004,19577600
2016-07-25,85.730003,87.870003,85.010002,87.660004,85.889999,14135000
2016-07-22,86.480003,86.50,85.110001,85.889999,85.989998,11363900
2016-07-21,88.300003,88.379997,85.209999,85.989998,87.910004,16084000
2016-07-20,86.669998,88.489998,85.82,87.910004,85.839996,23525100
2016-07-19,85.43,86.75,84.50,85.839996,98.809998,55681200
2016-07-18,98.43,99.839996,97.239998,98.809998,98.389999,28669700
2016-07-15,98.519997,98.699997,97.410004,98.389999,98.019997,9041900
2016-07-14,97.00,98.269997,96.800003,98.019997,96.43,9885000
2016-07-13,96.260002,96.720001,94.800003,96.43,95.970001,8768900
2016-07-12,95.07,96.720001,94.089996,95.970001,94.669998,11617400
2016-07-11,96.190002,96.870003,94.300003,94.669998,97.059998,13276200
2016-07-08,96.00,97.410004,95.300003,97.059998,95.099998,8335400
2016-07-07,94.699997,95.379997,93.18,95.099998,94.599998,9913500
2016-07-06,95.029999,96.00,93.550003,94.599998,97.910004,16301200
2016-07-05,95.199997,101.269997,93.309998,97.910004,96.669998,25879400
2016-07-01,95.00,97.00,94.800003,96.669998,91.480003,16167200
2016-06-30,90.910004,91.720001,89.900002,91.480003,91.059998,9099000
2016-06-29,89.669998,91.970001,88.699997,91.059998,87.970001,11687100
2016-06-28,87.410004,88.879997,86.410004,87.970001,85.330002,11545600
2016-06-27,87.879997,88.00,84.809998,85.330002,88.440002,13730500
2016-06-24,87.529999,90.489998,87.209999,88.440002,91.660004,11248600
2016-06-23,90.620003,91.68,88.150002,91.660004,90.010002,10819000
2016-06-22,90.779999,91.980003,89.769997,90.010002,90.989998,9454700
2016-06-21,93.870003,93.879997,90.769997,90.989998,93.800003,15199700
2016-06-20,95.220001,95.879997,93.650002,93.800003,94.449997,9026400
2016-06-17,95.75,95.769997,94.199997,94.449997,95.440002,8046800
2016-06-16,94.18,95.559998,93.25,95.440002,94.290001,7550800
2016-06-15,94.610001,95.459999,93.50,94.290001,94.120003,7675400
2016-06-14,94.160004,95.800003,93.269997,94.120003,93.849998,9480400
2016-06-13,95.019997,97.199997,93.620003,93.849998,93.75,13484300
