Date,Open,High,Low,Close Price,Prev Close Price,Volume
2017-03-30,56.48,56.599998,55.810001,56.040001,56.68,7193300
2017-03-29,56.41,57.099998,56.349998,56.68,56.619999,7407000
2017-03-28,55.990002,56.779999,55.790001,56.619999,55.93,7772900
2017-03-27,55.639999,56.25,55.540001,55.93,56.360001,8557200
2017-03-24,55.290001,56.639999,55.119999,56.360001,55.369999,14042600
2017-03-23,54.610001,55.549999,54.52,55.369999,53.919998,22472800
2017-03-22,54.759998,55.00,53.759998,53.919998,58.009998,37267800
2017-03-21,58.779999,59.00,57.720001,58.009998,58.68,14001200
2017-03-20,58.00,58.810001,57.959999,58.68,57.799999,13165000
2017-03-17,57.77,57.889999,57.310001,57.799999,57.599998,10738200
2017-03-16,57.43,57.720001,56.830002,57.599998,57.66,9882200
2017-03-15,57.630001,57.990002,56.75,57.66,57.279999,9925300
2017-03-14,56.869999,58.009998,56.720001,57.279999,56.669998,9266500
2017-03-13,56.43,56.82,56.110001,56.669998,56.43,7172400
2017-03-10,56.490002,56.990002,56.259998,56.43,56.360001,8819900
2017-03-09,56.610001,56.66,56.09,56.360001,56.509998,6139800
2017-03-08,56.939999,56.939999,56.310001,56.509998,56.549999,7585000
2017-03-07,56.709999,56.990002,56.02,56.549999,56.77,7061500
2017-03-06,56.700001,56.93,56.529999,56.77,56.700001,6890100
2017-03-03,57.799999,57.799999,56.509998,56.700001,57.799999,9181600
2017-03-02,57.900002,58.25,57.650002,57.799999,57.950001,6438400
2017-03-01,57.860001,58.029999,57.330002,57.950001,57.16,8558900
2017-02-28,57.369999,57.549999,56.860001,57.16,57.689999,7951300
2017-02-27,57.650002,57.830002,57.349998,57.689999,57.860001,4375700
2017-02-24,57.389999,58.419998,57.07,57.860001,57.389999,9684500
2017-02-23,58.110001,58.400002,57.27,57.389999,58.240002,12316300
2017-02-22,57.48,58.380001,57.360001,58.240002,57.360001,10914100
2017-02-21,56.380001,57.450001,56.200001,57.360001,56.75,10955000
2017-02-17,56.119999,56.799999,55.860001,56.75,56.290001,12638000
2017-02-16,56.880001,56.919998,56.099998,56.290001,56.639999,8374200
2017-02-15,56.290001,56.759998,56.209999,56.639999,56.450001,6652000
2017-02-14,55.919998,56.689999,55.830002,56.450001,56.09,8891400
2017-02-13,56.169998,56.34,55.75,56.09,56.220001,7679800
2017-02-10,55.630001,56.470001,55.630001,56.220001,55.310001,14973400
2017-02-09,53.880001,55.700001,53.880001,55.310001,53.880001,14345400
2017-02-08,52.740002,53.939999,52.700001,53.880001,52.810001,9281100
2017-02-07,53.07,53.279999,52.669998,52.810001,52.799999,6446900
2017-02-06,52.09,52.799999,52.049999,52.799999,52.360001,7355200
2017-02-03,52.619999,52.810001,52.25,52.360001,52.799999,8850400
2017-02-02,53.00,53.009998,52.48,52.799999,53.02,7874200
2017-02-01,52.98,53.259998,52.610001,53.02,52.900002,8810900
2017-01-31,51.68,52.900002,51.630001,52.900002,53.080002,12342900
2017-01-30,52.779999,53.220001,52.41,53.080002,53.189999,9770800
2017-01-27,53.68,54.080002,53.029999,53.189999,53.650002,7362000
2017-01-26,54.110001,54.119999,53.360001,53.650002,53.860001,6202000
2017-01-25,53.73,54.119999,53.689999,53.860001,53.450001,6675000
2017-01-24,53.02,53.57,52.990002,53.450001,53.240002,6321300
2017-01-23,53.02,53.259998,52.720001,53.240002,53.200001,7025700
2017-01-20,53.220001,53.349998,52.900002,53.200001,52.93,7861000
2017-01-19,53.84,53.939999,52.889999,52.93,53.27,8320600
2017-01-18,53.860001,53.889999,52.860001,53.27,53.650002,6743100
2017-01-17,53.400002,53.950001,53.009998,53.650002,52.919998,9888500
2017-01-13,52.59,52.93,52.23,52.919998,52.400002,6694400
2017-01-12,52.509998,52.689999,52.16,52.400002,52.689999,7368700
2017-01-11,53.119999,53.290001,52.669998,52.689999,53.110001,8208300
2017-01-10,53.549999,53.73,53.110001,53.110001,53.380001,8041900
2017-01-09,53.959999,53.990002,53.220001,53.380001,53.91,8724800
2017-01-06,53.09,54.09,52.98,53.91,53.060001,12532400
2017-01-05,52.919998,53.099998,52.439999,53.060001,53.07,8682200
2017-01-04,52.23,53.349998,52.09,53.07,51.98,13759500
2017-01-03,51.990002,52.50,51.77,51.98,50.830002,13295600
2016-12-30,51.099998,51.330002,50.700001,50.830002,51.060001,7384300
2016-12-29,51.00,51.240002,50.880001,51.060001,51.02,4680800
2016-12-28,51.310001,51.50,50.869999,51.02,51.290001,6318000
2016-12-27,51.799999,52.25,51.200001,51.290001,51.91,8175000
2016-12-23,51.990002,52.349998,51.669998,51.91,52.139999,9360800
2016-12-22,52.799999,53.00,52.029999,52.139999,52.299999,11798900
2016-12-21,52.900002,53.349998,51.549999,52.299999,51.790001,23236400
2016-12-20,51.060001,51.990002,50.75,51.790001,50.849998,15984100
2016-12-19,50.91,51.360001,50.48,50.849998,50.919998,9451700
2016-12-16,51.599998,51.639999,50.669998,50.919998,51.290001,13984900
2016-12-15,52.00,52.040001,51.09,51.290001,51.790001,9567500
2016-12-14,52.240002,52.34,51.59,51.790001,52.299999,8012800
2016-12-13,51.830002,53.220001,51.830002,52.299999,51.540001,11442300
2016-12-12,51.50,51.900002,50.939999,51.540001,51.720001,11459500
2016-12-09,51.759998,51.970001,51.50,51.720001,51.549999,5869800
2016-12-08,52.150002,52.470001,51.450001,51.549999,52.099998,9260900
2016-12-07,50.790001,52.25,50.599998,52.099998,50.57,10412600
2016-12-06,50.830002,51.099998,50.259998,50.57,51.849998,12496300
2016-12-05,50.799999,52.27,50.700001,51.849998,50.459999,12031200
2016-12-02,50.259998,50.68,50.110001,50.459999,50.650002,6933300
2016-12-01,50.110001,51.25,50.060001,50.650002,50.07,7610100
2016-11-30,50.52,50.810001,50.07,50.07,50.630001,8198400
2016-11-29,51.200001,51.369999,50.57,50.630001,51.009998,6065700
2016-11-28,51.439999,51.439999,50.610001,51.009998,51.52,8602100
2016-11-25,51.68,51.740002,51.349998,51.52,51.34,2736800
2016-11-23,51.709999,51.849998,51.200001,51.34,51.709999,4141600
2016-11-22,51.470001,51.75,51.049999,51.709999,51.279999,5228100
2016-11-21,51.00,51.419998,50.950001,51.279999,51.099998,5357200
2016-11-18,51.389999,51.889999,50.959999,51.099998,51.59,7461600
2016-11-17,50.939999,51.669998,50.720001,51.59,50.68,7671600
2016-11-16,50.00,50.799999,49.950001,50.68,50.130001,6760300
2016-11-15,50.459999,50.639999,49.75,50.130001,50.209999,9299800
2016-11-14,51.18,51.189999,50.209999,50.209999,50.77,8063900
2016-11-11,50.220001,50.849998,50.18,50.77,50.389999,6283600
2016-11-10,51.290001,51.369999,50.330002,50.389999,51.119999,12316100
2016-11-09,50.07,51.27,49.799999,51.119999,51.080002,9058600
2016-11-08,51.099998,51.490002,50.950001,51.080002,50.91,8107100
2016-11-07,50.48,50.93,50.279999,50.91,49.959999,8358700
2016-11-04,49.799999,50.450001,49.759998,49.959999,49.73,9925200
2016-11-03,49.98,50.00,49.310001,49.73,49.720001,7678700
2016-11-02,49.240002,50.27,49.009998,49.720001,49.619999,10775900
2016-11-01,50.50,50.509998,49.139999,49.619999,50.18,14100400
