Date,Open,High,Low,Close Price,Prev Close Price,Volume
2017-03-29,4.05,4.43,4.02,4.40,4.05,355700
2017-03-28,3.96,4.05,3.96,4.05,3.96,174000
2017-03-27,3.89,3.98,3.88,3.96,3.95,160700
2017-03-24,3.98,3.98,3.90,3.95,3.97,149300
2017-03-23,3.93,4.03,3.93,3.97,3.94,135100
2017-03-22,3.94,3.94,3.82,3.94,3.96,162200
2017-03-21,4.02,4.02,3.85,3.96,4.00,191000
2017-03-20,4.14,4.14,3.95,4.00,4.14,204600
2017-03-17,4.13,4.15,4.02,4.14,4.10,213900
2017-03-16,3.98,4.16,3.98,4.10,3.98,184400
2017-03-15,3.94,4.01,3.86,3.98,3.92,218400
2017-03-14,3.93,4.02,3.85,3.92,3.96,176400
2017-03-13,4.01,4.01,3.92,3.96,4.01,239800
2017-03-10,4.00,4.06,3.95,4.01,3.94,160400
2017-03-09,4.35,4.35,3.92,3.94,4.39,391000
2017-03-08,3.95,4.40,3.93,4.39,3.96,346300
2017-03-07,4.05,4.08,3.87,3.96,4.05,494200
2017-03-06,4.10,4.12,4.00,4.05,4.12,376600
2017-03-03,4.21,4.26,4.05,4.12,4.21,307000
2017-03-02,4.21,4.25,4.15,4.21,4.21,203200
2017-03-01,4.17,4.32,4.12,4.21,4.20,244600
2017-02-28,4.27,4.30,4.10,4.20,4.30,292900
2017-02-27,4.27,4.37,4.21,4.30,4.30,240400
2017-02-24,4.23,4.34,4.16,4.30,4.21,260800
2017-02-23,4.29,4.30,4.19,4.21,4.26,154500
2017-02-22,4.32,4.33,4.21,4.26,4.31,97700
2017-02-21,4.30,4.38,4.22,4.31,4.31,170700
2017-02-17,4.27,4.34,4.19,4.31,4.26,227900
2017-02-16,4.25,4.30,4.18,4.26,4.27,191300
2017-02-15,4.30,4.35,4.21,4.27,4.25,215200
2017-02-14,4.35,4.36,4.20,4.25,4.38,338600
2017-02-13,4.20,4.45,4.20,4.38,4.20,311600
2017-02-10,4.38,4.54,4.20,4.20,4.21,687300
2017-02-09,3.85,4.25,3.85,4.21,3.80,1239900
2017-02-08,4.20,4.20,3.75,3.80,4.32,1613600
2017-02-07,4.63,4.63,4.30,4.32,4.63,633300
2017-02-06,4.65,4.88,4.62,4.63,4.65,284800
2017-02-03,4.68,4.76,4.64,4.65,4.68,284200
2017-02-02,4.76,4.85,4.65,4.68,4.77,251200
2017-02-01,4.90,5.03,4.71,4.77,4.87,243100
2017-01-31,4.83,4.88,4.75,4.87,4.88,190800
2017-01-30,5.03,5.04,4.85,4.88,5.06,330900
2017-01-27,5.01,5.07,4.99,5.06,5.01,331700
2017-01-26,5.11,5.11,5.00,5.01,5.10,215100
2017-01-25,5.07,5.20,5.05,5.10,5.06,234000
2017-01-24,5.08,5.15,5.01,5.06,5.08,234800
2017-01-23,5.09,5.13,4.96,5.08,5.09,202100
2017-01-20,5.15,5.18,5.04,5.09,5.09,229800
2017-01-19,5.15,5.15,5.02,5.09,5.17,386400
2017-01-18,5.12,5.18,5.00,5.17,5.18,340500
2017-01-17,5.42,5.42,5.05,5.18,5.59,685500
2017-01-13,5.66,5.76,5.55,5.59,5.65,133300
2017-01-12,5.78,5.78,5.50,5.65,5.76,294700
2017-01-11,5.91,5.91,5.66,5.76,5.88,177600
2017-01-10,5.80,6.03,5.80,5.88,5.73,249100
2017-01-09,5.85,5.89,5.66,5.73,5.83,261400
2017-01-06,6.29,6.29,5.82,5.83,6.29,548300
2017-01-05,6.60,6.60,6.22,6.29,6.69,288000
2017-01-04,6.51,6.74,6.50,6.69,6.49,193200
2017-01-03,6.36,6.60,6.30,6.49,6.35,272200
2016-12-30,6.53,6.55,6.22,6.35,6.53,245900
2016-12-29,6.45,6.62,6.41,6.53,6.45,221100
2016-12-28,6.69,6.72,6.39,6.45,6.63,190700
2016-12-27,6.54,6.65,6.38,6.63,6.54,274700
2016-12-23,6.66,6.79,6.44,6.54,6.68,265700
2016-12-22,7.10,7.14,6.50,6.68,7.09,363500
2016-12-21,7.18,7.19,7.02,7.09,7.15,208000
2016-12-20,6.85,7.19,6.75,7.15,6.94,365900
2016-12-19,6.96,7.19,6.83,6.94,7.12,364200
2016-12-16,7.05,7.33,7.01,7.12,6.99,520500
2016-12-15,7.13,7.38,6.81,6.99,7.17,555300
2016-12-14,7.52,7.54,7.12,7.17,7.50,396900
2016-12-13,7.60,7.66,7.26,7.50,7.48,464100
2016-12-12,8.13,8.25,7.45,7.48,8.07,772700
2016-12-09,7.51,8.34,7.51,8.07,7.51,1425800
2016-12-08,6.84,7.54,6.70,7.51,6.79,670500
2016-12-07,6.35,6.92,6.30,6.79,6.23,492400
2016-12-06,6.00,6.27,5.94,6.23,6.03,352800
2016-12-05,5.94,6.09,5.94,6.03,5.90,384100
2016-12-02,5.82,6.00,5.75,5.90,5.81,246700
2016-12-01,5.79,5.90,5.68,5.81,5.75,255500
2016-11-30,6.00,6.08,5.70,5.75,5.99,355400
2016-11-29,5.86,6.06,5.80,5.99,5.77,554700
2016-11-28,6.04,6.04,5.70,5.77,5.94,403900
2016-11-25,6.01,6.06,5.90,5.94,6.01,119100
2016-11-23,5.93,6.09,5.93,6.01,5.90,330300
2016-11-22,6.10,6.10,5.83,5.90,6.02,349700
2016-11-21,5.94,6.12,5.87,6.02,5.87,417400
2016-11-18,5.98,6.00,5.83,5.87,5.93,324100
2016-11-17,5.93,6.14,5.92,5.93,5.87,918200
2016-11-16,5.65,5.95,5.61,5.87,5.69,707200
2016-11-15,5.40,5.75,5.40,5.69,5.38,1201900
2016-11-14,5.15,5.39,5.14,5.38,5.07,603500
2016-11-11,5.10,5.18,4.90,5.07,5.08,661900
2016-11-10,5.10,5.18,5.00,5.08,4.99,714000
2016-11-09,4.69,5.06,4.69,4.99,4.87,236200
2016-11-08,4.73,4.87,4.62,4.87,4.76,100000
2016-11-07,4.76,4.88,4.73,4.76,4.68,92400
2016-11-04,4.64,4.83,4.64,4.68,4.62,118100
2016-11-03,4.82,4.83,4.62,4.62,4.80,108900
2016-11-02,4.79,4.90,4.78,4.80,4.80,88700
2016-11-01,4.92,4.97,4.80,4.80,4.88,125900
2016-10-31,4.89,4.91,4.86,4.88,4.91,88500
2016-10-28,4.85,4.95,4.84,4.91,4.85,91400
2016-10-27,5.06,5.12,4.85,4.85,5.02,95500
2016-10-26,5.02,5.20,5.00,5.02,5.06,58800
2016-10-25,5.12,5.15,4.95,5.06,5.18,114200
2016-10-24,5.34,5.39,5.15,5.18,5.29,165400
2016-10-21,5.10,5.36,5.08,5.29,5.15,137100
2016-10-20,4.94,5.23,4.93,5.15,4.97,129800
2016-10-19,4.88,5.05,4.88,4.97,4.88,86100
2016-10-18,4.79,4.91,4.75,4.88,4.73,121900
2016-10-17,4.68,4.79,4.58,4.73,4.66,126600
2016-10-14,4.68,4.78,4.62,4.66,4.67,219200
2016-10-13,4.80,4.90,4.66,4.67,4.86,238800
2016-10-12,5.33,5.33,4.82,4.86,5.35,329600
2016-10-11,5.40,5.50,5.32,5.35,5.40,132900
2016-10-10,5.29,5.46,5.28,5.40,5.23,109000
2016-10-07,5.36,5.38,5.19,5.23,5.35,98500
2016-10-06,5.18,5.38,5.18,5.35,5.27,189200
2016-10-05,5.10,5.39,5.07,5.27,5.06,246600
2016-10-04,5.21,5.21,5.04,5.06,5.19,146900
2016-10-03,4.98,5.21,4.96,5.19,5.02,252100
2016-09-30,4.85,5.04,4.85,5.02,4.84,120800
2016-09-29,5.03,5.10,4.84,4.84,5.05,165400
2016-09-28,4.95,5.07,4.92,5.05,4.92,105400
2016-09-27,5.00,5.07,4.91,4.92,5.01,126100
2016-09-26,5.04,5.05,4.97,5.01,5.09,111100
2016-09-23,5.00,5.15,5.00,5.09,5.02,84200
2016-09-22,4.98,5.10,4.98,5.02,4.95,93900
2016-09-21,4.99,5.05,4.88,4.95,4.96,74600
2016-09-20,4.95,5.03,4.94,4.96,4.93,67900
2016-09-19,4.95,5.07,4.91,4.93,4.95,124200
2016-09-16,4.84,5.05,4.80,4.95,4.88,419000
2016-09-15,4.81,4.95,4.78,4.88,4.84,127600
2016-09-14,4.89,4.89,4.76,4.84,4.84,182300
2016-09-13,5.07,5.10,4.83,4.84,5.15,267100
2016-09-12,5.09,5.20,5.06,5.15,5.14,170400
2016-09-09,5.20,5.25,5.00,5.14,5.29,358800
2016-09-08,5.37,5.40,5.25,5.29,5.40,164300
2016-09-07,5.29,5.40,5.29,5.40,5.30,102700
2016-09-06,5.29,5.39,5.25,5.30,5.33,217500
2016-09-02,5.38,5.40,5.29,5.33,5.35,104200
2016-09-01,5.34,5.36,5.23,5.35,5.32,185000
2016-08-31,5.27,5.34,5.22,5.32,5.30,257900
2016-08-30,5.29,5.39,5.25,5.30,5.35,97600
2016-08-29,5.30,5.42,5.26,5.35,5.29,136000
2016-08-26,5.32,5.38,5.28,5.29,5.33,136900
2016-08-25,5.37,5.46,5.29,5.33,5.33,128200
2016-08-24,5.37,5.44,5.27,5.33,5.43,280100
2016-08-23,5.40,5.52,5.37,5.43,5.36,243400
2016-08-22,5.22,5.40,5.20,5.36,5.30,206100
2016-08-19,5.28,5.41,5.28,5.30,5.32,150200
2016-08-18,5.24,5.35,5.20,5.32,5.26,139400
2016-08-17,5.32,5.32,5.21,5.26,5.31,337200
2016-08-16,5.26,5.35,5.19,5.31,5.31,182900
2016-08-15,5.28,5.44,5.25,5.31,5.33,139200
2016-08-12,5.30,5.33,5.16,5.33,5.38,297600
2016-08-11,5.37,5.47,5.32,5.38,5.40,241100
2016-08-10,5.30,5.64,5.28,5.40,5.33,425400
2016-08-09,5.47,5.52,5.32,5.33,5.47,216000
2016-08-08,5.49,5.68,5.43,5.47,5.53,111300
2016-08-05,5.30,5.65,5.30,5.53,5.30,131700
2016-08-04,5.37,5.43,5.28,5.30,5.43,145700
2016-08-03,5.26,5.44,5.19,5.43,5.29,168600
2016-08-02,5.25,5.37,5.23,5.29,5.35,343900
2016-08-01,5.36,5.45,5.05,5.35,5.53,460200
2016-07-29,5.61,5.71,5.52,5.53,5.65,423200
2016-07-28,5.85,5.87,5.62,5.65,5.87,153900
2016-07-27,5.97,6.04,5.77,5.87,5.92,163200
2016-07-26,6.04,6.14,5.91,5.92,6.03,104800
2016-07-25,6.02,6.16,5.95,6.03,6.05,160400
2016-07-22,5.90,6.11,5.82,6.05,5.88,192200
2016-07-21,6.03,6.14,5.88,5.88,6.05,127400
2016-07-20,5.86,6.13,5.78,6.05,5.85,225300
2016-07-19,6.22,6.22,5.82,5.85,5.93,218100
2016-07-18,5.70,5.98,5.66,5.93,5.73,274500
2016-07-15,5.80,5.83,5.65,5.73,5.76,241300
2016-07-14,5.67,5.87,5.59,5.76,5.65,266600
2016-07-13,5.89,5.96,5.56,5.65,5.88,255300
2016-07-12,5.69,5.97,5.67,5.88,5.60,394400
2016-07-11,5.54,5.70,5.54,5.60,5.49,170300
2016-07-08,5.43,5.65,5.43,5.49,5.34,226200
2016-07-07,5.34,5.52,5.29,5.34,5.32,125100
2016-07-06,5.12,5.40,5.12,5.32,5.29,198900
2016-07-05,5.34,5.40,5.09,5.29,5.42,343900
2016-07-01,5.38,5.63,5.33,5.42,5.35,389100
2016-06-30,5.32,5.39,5.15,5.35,5.31,423300
2016-06-29,5.15,5.34,5.05,5.31,5.07,198300
2016-06-28,5.15,5.39,5.01,5.07,5.05,407100
2016-06-27,5.30,5.37,4.92,5.05,5.32,627200
2016-06-24,4.95,5.38,4.80,5.32,5.32,984500
2016-06-23,4.86,5.54,4.86,5.32,4.78,808600
2016-06-22,5.00,5.14,4.78,4.78,4.98,358500
2016-06-21,5.14,5.21,4.91,4.98,5.06,273100
2016-06-20,4.96,5.18,4.96,5.06,4.89,324200
2016-06-17,4.60,4.91,4.60,4.89,4.64,820000
2016-06-16,4.74,4.86,4.47,4.64,4.85,594100
2016-06-15,4.70,5.17,4.70,4.85,4.67,856800
2016-06-14,4.80,4.92,4.65,4.67,4.81,400000
2016-06-13,5.03,5.09,4.80,4.81,5.05,446800
2016-06-10,5.22,5.27,4.96,5.05,5.29,568900
2016-06-09,5.49,5.56,5.28,5.29,5.55,229900
2016-06-08,5.54,5.58,5.42,5.55,5.52,163100
2016-06-07,5.30,5.60,5.22,5.52,5.30,260800
2016-06-06,5.33,5.38,5.17,5.30,5.30,343700
2016-06-03,5.38,5.43,5.20,5.30,5.38,216700
2016-06-02,5.31,5.44,5.31,5.38,5.31,224300
