Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,46.650002,46.869999,46.139999,46.400002,46.599998,7781500,0.2,-0.0013818224381814451,0,0,0,0,0
1,2017-03-23,46.130001,46.779999,46.09,46.599998,46.060001,3448600,0.0,-0.0001359582728831041,0,0,0,0,0
2,2017-03-22,45.610001,46.139999,45.599998,46.060001,45.77,4394300,0.0,-5.0057226471897536e-05,0,0,0,0,0
3,2017-03-21,47.0,47.189999,45.68,45.77,46.77,4598700,0.2,-0.0024317039903208877,0,0,0,0,0
4,2017-03-20,46.619999,47.16,46.52,46.77,46.59,5995400,0.0,-0.0014552533674316917,0,0,0,0,0
5,2017-03-17,46.73,46.900002,46.5,46.59,46.610001,5574400,0.0,-0.0014328401181827053,0,0,0,0,0
6,2017-03-16,46.599998,46.619999,46.299999,46.610001,46.290001,8253800,-0.2,-9.325995168016025e-05,0,0,0,0,0
7,2017-03-15,46.549999,46.549999,45.900002,46.290001,46.369999,6668600,0.0,-0.0015204086618777891,0,0,0,0,0
8,2017-03-14,46.41,46.759998,46.189999,46.369999,46.57,6188400,0.0,-0.0018422213297633154,0,0,0,0,0
9,2017-03-13,46.099998,47.0,46.099998,46.57,45.98,5698100,0.0,-0.0009253441250824959,0,0,0,0,0
10,2017-03-10,46.200001,46.200001,45.75,45.98,45.939999,5845500,0.0,-0.0011456999716478147,0,0,0,0,0
11,2017-03-09,45.869999,46.119999,45.68,45.939999,45.98,3568500,0.0,2.245788380397674e-05,0,0,0,0,0
12,2017-03-08,45.849998,46.189999,45.73,45.98,45.73,6277700,0.0,-0.00047775960205943547,0,0,0,0,0
13,2017-03-07,45.5,45.919998,45.490002,45.73,45.639999,3799800,0.0,-0.001160075342562114,0,0,0,0,0
14,2017-03-06,45.610001,45.689999,45.389999,45.639999,45.91,4702300,0.0,-0.001618621739864311,0,0,0,0,0
15,2017-03-03,45.880001,46.0,45.599998,45.91,45.939999,3823900,0.0,-0.0005989293727942213,0,0,0,0,0
16,2017-03-02,46.02,46.130001,45.619999,45.939999,46.240002,3761800,0.2,-0.0026320316410559617,0,0,0,0,0
17,2017-03-01,45.889999,46.41,45.889999,46.240002,45.66,3311700,0.0,-0.0004003609288368579,0,0,0,0,0
18,2017-02-28,45.57,45.75,45.25,45.66,45.709999,5111000,0.2,-0.0014557502903956277,0,0,0,0,0
19,2017-02-27,45.450001,45.740002,45.240002,45.709999,45.549999,5694800,0.0,-0.0009946737160834336,0,0,0,0,0
20,2017-02-24,45.139999,45.549999,44.950001,45.549999,45.41,6758300,0.0,-0.0007095085710227614,0,0,0,0,0
21,2017-02-23,46.040001,46.139999,45.290001,45.41,45.98,7007200,0.2,-0.003517880475999957,0,0,0,0,0
22,2017-02-22,45.470001,46.349998,45.450001,45.98,45.5,7232800,0.0,-0.0023612618291623403,0,0,0,0,0
23,2017-02-21,45.220001,45.610001,45.099998,45.5,45.099998,6526400,0.0,-0.0030805134836750987,0,0,0,0,0
24,2017-02-17,44.950001,45.34,44.790001,45.099998,45.16,4006700,0.2,-0.0032593117391059223,0,0,0,0,0
25,2017-02-16,45.650002,45.689999,45.009998,45.16,45.650002,3705600,0.2,-0.004138350368369276,0,0,0,0,0
26,2017-02-15,45.029999,46.720001,44.639999,45.650002,45.02,7807600,0.0,-0.0020958751072684555,0,0,0,0,0
27,2017-02-14,45.380001,45.580002,44.900002,45.02,45.459999,7701800,0.2,-0.003390892712836595,0,0,0,0,0
28,2017-02-13,45.080002,45.57,44.939999,45.459999,45.029999,8007200,0.0,-0.00132959987015932,0,0,0,0,0
29,2017-02-10,45.150002,45.23,44.959999,45.029999,45.080002,9416300,0.0,-0.0011479803932921443,0,0,0,0,0
30,2017-02-09,44.950001,45.240002,44.82,45.080002,45.07,8972000,-0.2,-0.0002503722764901427,0,0,0,0,0
31,2017-02-08,44.5,45.189999,44.34,45.07,44.369999,22198400,-0.2,-0.0010114205796837136,0,0,0,0,0
32,2017-02-07,44.43,44.59,44.189999,44.369999,44.419998,6666700,0.0,-0.004540963418472622,0,0,0,1,0
33,2017-02-06,43.619999,44.529999,43.560001,44.419998,43.709999,7488900,0.0,-0.0037680652238818195,0,0,0,0,1
34,2017-02-03,43.900002,43.990002,43.66,43.709999,43.689999,4157400,-0.2,-0.003627181871203014,0,0,1,1,1
35,2017-02-02,43.630001,44.0,43.580002,43.689999,43.779999,3759100,0.0,-0.003975732722366819,0,0,0,1,1
36,2017-02-01,44.25,44.259998,43.709999,43.779999,44.07,6520500,0.2,-0.004733300926443428,0,0,0,0,1
37,2017-01-31,43.779999,44.150002,43.669998,44.07,43.93,4441500,0.0,-0.0037488038627447504,0,0,0,0,0
38,2017-01-30,44.220001,44.220001,43.709999,43.93,44.419998,7283300,0.2,-0.00524272686948964,0,0,0,0,0
39,2017-01-27,44.540001,44.709999,44.23,44.419998,44.549999,4922100,0.2,-0.004395520734810032,0,0,0,0,0
40,2017-01-26,44.830002,45.080002,44.400002,44.549999,44.939999,5064400,0.4,-0.005951854989824866,0,0,0,0,0
41,2017-01-25,44.110001,45.0,44.09,44.939999,43.900002,5306400,0.4,-0.005907166142862713,0,0,-1,0,-1
42,2017-01-24,43.650002,44.220001,43.43,43.900002,42.400002,5153500,0.4,-0.0027563959216435493,1,0,0,0,0
43,2017-01-23,41.950001,42.450001,41.84,42.400002,42.049999,6903900,0.2,-0.0016641211646824523,1,1,1,1,1
44,2017-01-20,42.330002,42.540001,41.869999,42.049999,42.09,4942800,0.4,-0.004855520771856733,0,1,1,1,1
45,2017-01-19,42.049999,42.189999,41.900002,42.09,42.029999,9972700,0.4,-0.007608620667701902,0,0,1,1,1
46,2017-01-18,42.150002,42.150002,41.799999,42.029999,41.990002,11082400,0.4,-0.008104727579092787,0,0,0,1,1
47,2017-01-17,42.060001,42.18,41.84,41.990002,42.27,24928500,0.6,-0.008849125155955609,0,0,0,0,1
