Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,142.360001,142.800003,141.580002,142.020004,141.839996,3862800,0,-0.0012101920643428187,1,1,1,1,1
1,2017-03-23,142.139999,142.889999,141.259995,141.839996,142.649994,4446700,0,-0.0012415015917473628,0,1,1,1,1
2,2017-03-22,142.539993,143.800003,140.759995,142.649994,142.419998,3846000,0,-0.0013499361617810377,-1,-1,1,1,1
3,2017-03-21,146.75,147.699997,142.100006,142.419998,145.830002,4633800,0,-0.0015392832414317622,0,-1,-1,1,1
4,2017-03-20,145.449997,146.25,144.580002,145.830002,145.110001,4765700,0,-0.0014042175065401444,-1,-1,-1,-1,-1
5,2017-03-17,144.050003,145.759995,143.399994,145.110001,144.389999,3511800,0,-0.001494618889588013,1,-1,-1,-1,-1
6,2017-03-16,145.5,146.5,144.220001,144.389999,145.25,3468500,0,-0.0014643794200783747,1,1,-1,-1,-1
7,2017-03-15,144.199997,145.520004,143.229996,145.25,143.190002,6471500,0,-0.0012370830864727612,-1,0,1,-1,-1
8,2017-03-14,142.949997,143.309998,141.699997,143.190002,143.520004,7632600,0,-0.0014687946603061765,1,1,1,1,-1
9,2017-03-13,140.899994,143.710007,140.320007,143.520004,140.889999,3342000,0,-0.001469549921371443,-1,1,1,1,1
10,2017-03-10,141.389999,141.800003,140.279999,140.889999,140.529999,6213400,0,-0.0015045817382404736,1,1,1,1,1
11,2017-03-09,140.039993,141.240005,139.740005,140.529999,140.320007,5243800,0,-0.001408974685181563,1,1,1,1,1
12,2017-03-08,141.470001,142.059998,139.770004,140.320007,141.429993,5979400,0,-0.0015354187563951188,0,1,1,1,1
13,2017-03-07,141.990005,142.399994,140.380005,141.429993,141.940002,4653100,0,-0.0016696082226606438,-1,-1,-1,1,1
14,2017-03-06,141.0,142.839996,140.539993,141.940002,139.139999,4913000,0,-0.0016201057776306245,-1,-1,-1,-1,1
15,2017-03-03,139.690002,140.910004,138.259995,139.139999,139.529999,3313100,0,-0.001320913123760174,1,1,1,1,1
16,2017-03-02,142.149994,142.699997,139.089996,139.529999,142.649994,2644500,0,-0.0013612068933006166,-1,1,1,1,1
17,2017-03-01,142.839996,143.259995,142.100006,142.649994,142.130005,4085500,0,-0.001317093624845856,-1,-1,-1,-1,-1
18,2017-02-28,143.300003,143.570007,141.850006,142.130005,143.410004,4180200,0,-0.0012451952812437576,1,-1,-1,0,-1
19,2017-02-27,143.119995,143.919998,142.380005,143.410004,143.25,7107300,0,-0.0013296307085422902,-1,-1,-1,-1,-1
20,2017-02-24,141.880005,143.559998,141.550003,143.25,142.779999,5399800,0,-0.0012138361822557912,0,-1,-1,-1,-1
21,2017-02-23,144.449997,144.490005,141.520004,142.779999,143.860001,6110700,0,-0.0013697412149523275,1,1,-1,0,-1
22,2017-02-22,142.919998,144.0,142.169998,143.860001,142.600006,4156800,0,-0.00106587354292384,-1,-1,-1,-1,-1
23,2017-02-21,142.990005,143.380005,141.809998,142.600006,142.220001,3823900,0,-0.0010071662067821048,1,0,1,1,-1
24,2017-02-17,141.75,142.899994,141.270004,142.220001,142.009995,3902500,0,-0.0009419119211389258,1,1,1,1,1
25,2017-02-16,142.419998,142.440002,141.070007,142.009995,142.270004,3288600,0,-0.0008887544078680314,0,1,1,1,1
26,2017-02-15,140.720001,142.429993,140.509995,142.270004,140.820007,4657000,0,-0.0006559606999169892,-1,0,1,1,1
27,2017-02-14,143.199997,144.110001,140.050003,140.820007,143.199997,3463000,0,-0.0007134002800655243,1,1,1,1,1
28,2017-02-13,145.190002,145.949997,143.050003,143.199997,144.820007,3461800,0,-0.0008874647041037918,-1,-1,-1,-1,-1
29,2017-02-10,144.679993,145.300003,143.970001,144.820007,144.139999,4574300,0,-0.0007625654183907807,-1,-1,-1,-1,-1
30,2017-02-09,144.979996,145.089996,143.580002,144.139999,144.740005,2839200,0,-0.0007952800101175487,1,-1,-1,-1,-1
31,2017-02-08,143.570007,145.070007,142.559998,144.740005,144.0,5274700,0,-0.0004280791918702911,-1,0,-1,-1,-1
32,2017-02-07,141.490005,144.279999,141.050003,144.0,140.970001,8355000,0,-0.00040129625730819747,1,0,1,-1,-1
33,2017-02-06,140.0,141.0,139.160004,140.970001,140.25,4781700,0,-0.0004977077324111277,1,1,1,1,1
34,2017-02-03,139.509995,140.639999,139.100006,140.25,139.199997,5528100,0,-0.0003645773150916213,1,1,1,1,1
35,2017-02-02,140.610001,141.039993,139.050003,139.199997,140.779999,4543100,0,-0.00030574744294351085,1,1,1,1,1
36,2017-02-01,141.199997,142.410004,139.300003,140.779999,140.710007,6856100,0,-0.0006192620806752429,-1,-1,0,1,1
37,2017-01-31,140.550003,141.830002,139.699997,140.710007,141.220001,8514700,0,-0.0005535618153592654,0,-1,-1,1,1
38,2017-01-30,141.770004,141.970001,138.800003,141.220001,142.449997,3552100,0,-0.0004369446629265814,-1,-1,-1,-1,0
39,2017-01-27,139.460007,142.490005,139.0,142.449997,138.960007,3512600,0,-0.0002707577480640328,-1,-1,-1,-1,-1
40,2017-01-26,140.449997,141.210007,138.509995,138.960007,139.520004,3443700,0,-0.00020920370131474752,1,1,1,1,0
41,2017-01-25,140.800003,141.389999,139.050003,139.520004,140.110001,6013100,0,-0.00028736118246506175,-1,1,1,1,1
42,2017-01-24,138.110001,140.929993,137.029999,140.110001,137.389999,4361000,0,-0.0002085022325978643,-1,-1,1,1,1
43,2017-01-23,138.649994,139.490005,137.309998,137.389999,138.600006,8104500,0,-0.00021492080712008833,1,1,1,1,1
44,2017-01-20,139.360001,140.789993,137.660004,138.600006,138.410004,8290200,0,-0.00027002576333090886,-1,1,1,1,1
45,2017-01-19,142.009995,143.460007,138.25,138.410004,133.259995,6028400,0,-0.00011979066360902593,0,-1,1,1,1
46,2017-01-18,133.210007,133.649994,131.059998,133.259995,132.889999,7238100,0,-6.536648262599769e-05,1,1,1,1,1
47,2017-01-17,135.039993,135.399994,132.089996,132.889999,133.699997,7743200,0,5.296385377890165e-05,1,1,1,1,1
48,2017-01-13,131.149994,133.929993,130.580002,133.699997,129.179993,7421000,0,0.00018210524156832893,-1,-1,1,1,1
49,2017-01-12,130.630005,130.850006,128.5,129.179993,130.5,9432700,0,2.225225226642197e-05,1,1,1,1,1
50,2017-01-11,130.910004,131.5,129.25,130.5,129.889999,23163700,0,0.00010420767112366818,-1,1,1,1,1
51,2017-01-10,131.270004,132.220001,129.289993,129.889999,130.949997,16168600,0,1.9963526524725036e-05,1,-1,1,1,1
52,2017-01-09,131.479996,131.990005,129.889999,130.949997,131.070007,12220200,0,0.00014115770703374854,-1,-1,-1,1,1
53,2017-01-06,132.080002,133.880005,129.809998,131.070007,131.809998,10515000,0,0.00015911940359815676,0,-1,-1,-1,1
54,2017-01-05,129.220001,132.75,128.899994,131.809998,129.410004,5388900,0,0.00030945748926182015,-1,-1,-1,-1,-1
55,2017-01-04,127.489998,130.169998,126.550003,129.410004,127.489998,5615100,0,0.0003171563106600667,1,1,1,1,1
56,2017-01-03,124.959999,128.190002,124.309998,127.489998,123.800003,5985800,0,0.0005889169749065386,1,1,1,1,1
57,2016-12-30,126.239998,126.57,123.599998,123.800003,125.330002,5766900,0,0.0004265992182353119,1,1,1,1,1
58,2016-12-29,125.949997,126.139999,124.199997,125.330002,125.889999,10657900,0,0.00047196849732799255,-1,1,1,1,1
59,2016-12-28,129.070007,129.070007,125.760002,125.889999,128.350006,10185500,0,0.0002973287524152981,-1,-1,1,1,1
60,2016-12-27,126.239998,129.050003,125.699997,128.350006,125.589996,7843600,0,0.0003167062886021991,-1,-1,-1,-1,1
61,2016-12-23,125.610001,126.279999,125.080002,125.589996,125.580002,9437900,0,0.00038036609092216626,1,1,-1,-1,1
62,2016-12-22,126.839996,127.5,125.18,125.580002,126.5,4455400,0,0.0003154399545913773,0,1,1,0,-1
63,2016-12-21,125.529999,127.739998,125.0,126.5,125.120003,3445100,0,0.0003304881543500814,-1,-1,1,-1,-1
64,2016-12-20,125.459999,126.300003,124.639999,125.120003,125.449997,4389200,0,0.00037238138838636666,1,1,1,1,1
65,2016-12-19,124.300003,126.440002,122.870003,125.449997,124.220001,5288200,0,0.0003734440980145932,-1,1,0,0,1
66,2016-12-16,126.389999,126.68,124.010002,124.220001,125.0,2010400,0,0.00024192409536698755,1,1,1,1,1
67,2016-12-15,123.440002,127.43,122.949997,125.0,123.440002,4160700,0,0.0003007772988479402,-1,1,0,1,1
68,2016-12-14,123.43,124.400002,122.5,123.440002,123.779999,6514800,0,0.00018219441583295785,1,1,1,1,1
69,2016-12-13,123.510002,125.089996,122.779999,123.779999,122.830002,3937800,0,2.8755718030238133e-05,-1,1,1,1,1
70,2016-12-12,122.839996,124.029999,122.300003,122.830002,122.879997,4867300,0,-0.0002288676743235083,1,1,1,1,1
71,2016-12-09,123.779999,124.300003,121.730003,122.879997,123.239998,7868000,0,-5.1406741411207515e-05,0,1,1,1,1
72,2016-12-08,125.400002,126.349998,122.160004,123.239998,125.389999,7376200,0,1.7955197498629233e-05,-1,-1,1,0,1
73,2016-12-07,124.480003,125.75,123.25,125.389999,124.57,6110300,0,3.692507704786409e-05,-1,-1,-1,-1,-1
74,2016-12-06,120.099998,124.790001,119.419998,124.57,119.160004,5564500,0,0.00010444268727709727,1,-1,-1,-1,-1
75,2016-12-05,120.730003,120.75,118.400002,119.160004,120.809998,3917600,0,0.00019475220510118522,1,1,1,1,1
76,2016-12-02,116.75,120.980003,116.75,120.809998,117.220001,4700800,0,0.00028662768496386874,-1,1,1,1,1
77,2016-12-01,117.519997,118.68,113.949997,117.220001,117.0,8987700,0,0.000311526435909139,1,1,1,1,1
78,2016-11-30,119.0,120.370003,116.389999,117.0,117.510002,8204700,0,0.00015541726151057362,0,1,1,1,1
79,2016-11-29,117.300003,119.18,117.129997,117.510002,116.93,11513200,0,0.00010282332032999619,-1,-1,1,1,1
80,2016-11-28,117.050003,117.620003,115.709999,116.93,117.410004,7626300,0,0.00011308144966982053,1,0,1,1,1
81,2016-11-25,117.639999,118.389999,117.18,117.410004,117.690002,8953600,0,-7.1558991182315355e-06,-1,0,-1,0,1
