Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,141.5,141.740005,140.350006,140.639999,140.919998,19534100,0.26666666666666666,-0.0021462295768396532,0,1,1,1,1
1,2017-03-23,141.259995,141.580002,140.610001,140.919998,141.419998,21179100,0.3333333333333333,-0.0023932473481051053,0,0,1,1,1
2,2017-03-22,139.850006,141.600006,139.759995,141.419998,139.839996,29120900,0.3333333333333333,-0.0023350854859206017,0,0,0,1,1
3,2017-03-21,142.110001,142.800003,139.729996,139.839996,141.460007,33320700,0.4,-0.0030308072797987063,1,1,0,1,1
4,2017-03-20,140.399994,141.5,140.229996,141.460007,139.990005,23493200,0.4,-0.002826450708693762,-1,0,0,0,0
5,2017-03-17,141.0,141.0,139.889999,139.990005,140.690002,22025300,0.4,-0.002936072879334293,1,0,1,0,0
6,2017-03-16,140.720001,141.020004,140.259995,140.690002,140.460007,20285700,0.4,-0.004797438857233697,0,0,0,0,0
7,2017-03-15,139.410004,140.75,139.029999,140.460007,138.990005,25787600,0.3333333333333333,-0.00437167239519388,0,0,0,0,0
8,2017-03-14,139.300003,139.649994,138.839996,138.990005,139.199997,39116800,0.3333333333333333,-0.0043343361457984465,1,1,0,1,0
9,2017-03-13,138.850006,139.429993,138.820007,139.199997,139.139999,20213100,0.3333333333333333,-0.0043227008023778634,0,1,1,0,1
10,2017-03-10,139.25,139.360001,138.639999,139.139999,138.679993,43597400,0.3333333333333333,-0.004228901482615579,0,0,1,1,0
11,2017-03-09,138.740005,138.789993,137.050003,138.679993,139.0,19132500,0.4,-0.004828189500856711,0,0,0,1,1
12,2017-03-08,138.949997,139.800003,138.820007,139.0,139.520004,25566800,0.4,-0.0049223272259503546,0,0,0,0,1
13,2017-03-07,139.059998,139.979996,138.789993,139.520004,139.339996,15189700,0.4,-0.004901528700805309,0,0,0,0,0
14,2017-03-06,139.369995,139.770004,138.600006,139.339996,139.779999,17042400,0.4666666666666667,-0.00506789893200582,0,0,0,0,0
15,2017-03-03,138.779999,139.830002,138.589996,139.779999,138.960007,19488000,0.4,-0.004813915261127513,0,0,0,-1,0
16,2017-03-02,140.0,140.279999,138.759995,138.960007,139.789993,22065200,0.4,-0.005010231389683362,0,0,0,0,0
17,2017-03-01,137.889999,140.149994,137.600006,139.789993,136.990005,18681800,0.4,-0.004609232437653793,0,0,0,0,0
18,2017-02-28,137.080002,137.440002,136.699997,136.990005,136.929993,17267500,0.3333333333333333,-0.004535826429526008,1,1,1,1,1
19,2017-02-27,137.139999,137.440002,136.279999,136.929993,136.660004,21155300,0.26666666666666666,-0.00433033968621732,0,1,1,1,1
20,2017-02-24,135.910004,136.660004,135.279999,136.660004,136.529999,21108100,0.26666666666666666,-0.004476778246733031,0,0,1,1,1
