Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,140.080002,141.020004,139.759995,140.339996,139.529999,11320500,0.13333333333333333,-0.0012824537661945122,0,1,1,1,1
1,2017-03-23,139.479996,140.389999,139.089996,139.529999,139.589996,12391400,0.2,-0.0018829769126302712,0,0,1,1,1
2,2017-03-22,137.929993,139.789993,137.600006,139.589996,138.509995,15708400,0.13333333333333333,-0.001569455051509668,0,0,0,1,1
3,2017-03-21,141.149994,142.309998,138.399994,138.509995,139.940002,14633400,0.2,-0.002186199430261373,1,1,1,1,1
4,2017-03-20,139.710007,140.190002,139.25,139.940002,139.839996,12787600,0.2,-0.002198007119427919,-1,0,0,0,0
5,2017-03-17,140.339996,140.339996,139.699997,139.839996,139.990005,16542100,0.2,-0.0016248782244811086,0,-1,0,0,0
6,2017-03-16,140.199997,140.25,139.729996,139.990005,139.720001,12350800,0.2,-0.0022886484873974157,0,0,-1,0,0
7,2017-03-15,139.289993,140.100006,138.490005,139.720001,139.320007,17000300,0.13333333333333333,-0.0020244085649611257,0,0,0,-1,0
8,2017-03-14,139.460007,139.460007,138.520004,139.320007,139.600006,29698100,0.13333333333333333,-0.001786010997244421,0,0,0,0,0
9,2017-03-13,138.710007,139.679993,138.669998,139.600006,138.789993,11775900,0.06666666666666667,-0.001441287816924375,0,0,0,0,0
10,2017-03-10,138.910004,139.490005,138.220001,138.789993,138.240005,20474300,0.06666666666666667,-0.0016355517675714511,0,0,0,1,1
11,2017-03-09,137.720001,138.570007,137.399994,138.240005,137.720001,13594000,0.06666666666666667,-0.0020451008798377537,0,1,1,1,1
12,2017-03-08,137.149994,137.990005,137.050003,137.720001,137.300003,19299100,0.06666666666666667,-0.0020568162722825836,0,1,1,1,1
13,2017-03-07,137.029999,138.369995,136.990005,137.300003,137.419998,12928400,0.13333333333333333,-0.002574583545777398,0,0,1,1,1
14,2017-03-06,136.880005,137.830002,136.509995,137.419998,137.169998,10946300,0.06666666666666667,-0.0023801255574303726,0,0,0,1,1
15,2017-03-03,136.630005,137.330002,136.080002,137.169998,136.759995,16292900,0.0,-0.0021837989702855496,0,0,0,1,1
16,2017-03-02,137.089996,137.820007,136.309998,136.759995,137.419998,15460800,0.06666666666666667,-0.0023576931313438612,0,0,0,0,1
17,2017-03-01,136.470001,137.479996,136.300003,137.419998,135.539993,9963600,0.0,-0.001779150573372901,0,0,0,0,0
18,2017-02-28,136.789993,136.809998,134.75,135.539993,136.410004,13233100,0.06666666666666667,-0.0024398405043845194,1,1,1,1,1
19,2017-02-27,135.259995,137.179993,135.020004,136.410004,135.440002,12550100,0.06666666666666667,-0.0023423364295470485,0,1,0,0,1
20,2017-02-24,134.160004,135.619995,134.160004,135.440002,135.360001,11130300,0.06666666666666667,-0.0027826356512748265,0,0,1,1,1
21,2017-02-23,135.889999,136.119995,134.330002,135.360001,136.119995,12270200,0.06666666666666667,-0.0028223550181536296,0,1,0,1,1
22,2017-02-22,133.600006,136.789993,133.460007,136.119995,133.720001,16211900,0.06666666666666667,-0.0026322906596856835,0,0,0,0,1
23,2017-02-21,133.5,133.910004,132.899994,133.720001,133.529999,16028700,0.06666666666666667,-0.0033250096002981782,1,1,1,1,1
24,2017-02-17,133.5,134.089996,133.169998,133.529999,133.839996,14286000,0.13333333333333333,-0.003949339828923556,0,1,1,1,1
25,2017-02-16,133.070007,133.869995,133.020004,133.839996,133.440002,12589600,0.13333333333333333,-0.004363664041355515,0,0,1,1,1
26,2017-02-15,133.449997,133.699997,132.660004,133.440002,133.850006,18400800,0.2,-0.00498236982500662,0,0,0,1,1
27,2017-02-14,134.100006,134.229996,132.550003,133.850006,134.050003,27312900,0.2,-0.004655529697744076,0,0,0,0,1
28,2017-02-13,134.699997,134.699997,133.699997,134.050003,134.190002,14673300,0.2,-0.004527041939496296,0,0,0,0,0
29,2017-02-10,134.100006,134.940002,133.679993,134.190002,134.139999,12249900,0.13333333333333333,-0.004203866056792759,0,0,0,0,0
30,2017-02-09,134.490005,134.5,133.309998,134.139999,134.199997,12809800,0.2,-0.004427798598721566,0,0,0,0,0
31,2017-02-08,132.600006,134.440002,132.440002,134.199997,131.839996,13144500,0.13333333333333333,-0.0038046553848112164,0,0,0,0,0
32,2017-02-07,132.240005,133.0,131.660004,131.839996,132.059998,14340100,0.13333333333333333,-0.0033946346412117236,1,1,1,1,1
33,2017-02-06,130.979996,132.059998,130.300003,132.059998,130.979996,13503300,0.06666666666666667,-0.003108031274303925,0,1,1,1,1
34,2017-02-03,131.240005,132.850006,130.759995,130.979996,130.839996,14557400,0.0,-0.0030304168094957445,1,0,1,1,1
35,2017-02-02,133.220001,135.490005,130.399994,130.839996,133.229996,16441600,0.0,-0.0034631862013028507,0,1,0,1,1
36,2017-02-01,132.25,133.490005,130.679993,133.229996,130.320007,22329500,-0.06666666666666667,-0.0025404701998498684,-1,-1,-1,-1,0
37,2017-01-31,130.169998,130.660004,129.520004,130.320007,130.979996,14563800,0.0,-0.0028088101233071133,1,0,0,1,1
38,2017-01-30,131.580002,131.580002,129.600006,130.979996,132.179993,17058500,0.0,-0.003086470530531019,0,1,0,0,1
39,2017-01-27,132.679993,132.949997,131.080002,132.179993,132.779999,24804900,0.06666666666666667,-0.003941518728538612,-1,-1,1,-1,-1
40,2017-01-26,131.630005,133.139999,131.440002,132.779999,131.479996,54179400,0.0,-0.003074561001582862,0,-1,-1,0,-1
41,2017-01-25,130.0,131.740005,129.770004,131.479996,129.369995,42482700,0.0,-0.0027540847971080935,1,0,0,-1,1
42,2017-01-24,129.380005,129.899994,128.380005,129.369995,128.929993,19444000,0.0,-0.002909827402148484,1,1,1,1,0
43,2017-01-23,127.309998,129.25,126.949997,128.929993,127.040001,18891400,0.0,-0.0026020595201679984,0,1,1,1,1
44,2017-01-20,128.100006,128.479996,126.779999,127.040001,127.550003,19493900,0.0,-0.0027017779060328775,1,1,1,1,1
45,2017-01-19,128.229996,128.350006,127.449997,127.550003,127.919998,19818100,0.06666666666666667,-0.003374699946920964,0,1,1,1,1
46,2017-01-18,128.410004,128.429993,126.839996,127.919998,127.870003,18731300,0.06666666666666667,-0.0034483285397226182,0,0,1,1,1
47,2017-01-17,128.039993,128.339996,127.400002,127.870003,128.339996,15130100,0.06666666666666667,-0.0026093641947448057,0,0,0,1,1
48,2017-01-13,127.489998,129.270004,127.370003,128.339996,126.620003,16514200,0.0,-0.0014729987801184823,0,0,0,-1,0
49,2017-01-12,125.610001,126.730003,124.800003,126.620003,126.089996,18798000,0.0,-0.0014603296303882171,1,1,1,0,0
50,2017-01-11,124.349998,126.120003,124.059998,126.089996,124.349998,12157100,0.0,-0.0010086481433065277,0,1,1,1,1
