Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,35.650002,35.73,35.119999,35.16,35.27,21405500,0,0.0010704021301263722,0,1,1,1,1
1,2017-03-23,35.490002,35.490002,35.02,35.27,35.369999,16313200,0,0.000948403671031028,0,0,1,1,1
2,2017-03-22,35.220001,35.459999,35.0,35.369999,35.040001,17109000,0,0.0011860408022440127,0,0,0,0,0
3,2017-03-21,35.59,35.599998,35.0,35.040001,35.43,18394800,0,0.001044795492190149,1,0,0,1,1
4,2017-03-20,35.369999,35.630001,35.259998,35.43,35.27,16986300,0,0.0013413657570331599,-1,0,0,-1,0
5,2017-03-17,35.310001,35.330002,35.099998,35.27,35.139999,22030600,0,0.0013188267632997196,0,0,0,0,0
6,2017-03-16,35.169998,35.360001,35.07,35.139999,35.099998,20529600,0,0.0016305937401836076,0,1,0,0,0
7,2017-03-15,34.939999,35.169998,34.68,35.099998,35.18,18704600,0,0.002097799669291134,0,0,1,0,1
8,2017-03-14,35.060001,35.23,34.66,35.18,35.16,22513700,0,0.002615593612596817,0,0,0,0,0
9,2017-03-13,35.849998,36.040001,34.939999,35.16,35.91,16686200,0,0.0015359441623442767,0,0,0,0,1
10,2017-03-10,36.119999,36.299999,35.779999,35.91,35.82,30446300,0,0.0018324771158019777,-1,-1,-1,-1,-1
11,2017-03-09,35.599998,35.939999,35.5,35.82,35.619999,19377700,0,0.0018598636474566402,0,-1,-1,-1,-1
12,2017-03-08,35.669998,35.900002,35.529999,35.619999,35.799999,27964300,0,0.0009382743247816975,0,1,-1,-1,-1
13,2017-03-07,35.540001,35.799999,35.389999,35.799999,35.57,28538100,0,0.0013065363346439667,0,0,0,-1,-1
14,2017-03-06,35.790001,35.799999,35.419998,35.57,35.900002,52088500,0,0.0006634112344369739,0,0,0,1,-1
15,2017-03-03,35.939999,36.09,35.669998,35.900002,35.91,24626400,0,0.0008273100662361138,-1,0,-1,0,0
16,2017-03-02,35.93,36.02,35.650002,35.91,35.93,23543100,0,0.0008450173535409407,0,-1,0,-1,0
17,2017-03-01,35.849998,36.099998,35.439999,35.93,36.200001,20899400,0,0.0005854732079760496,0,0,-1,0,-1
18,2017-02-28,36.419998,36.459999,36.0,36.200001,36.509998,23337700,0,0.00022753950641291406,-1,-1,-1,-1,-1
19,2017-02-27,36.419998,36.68,36.27,36.509998,36.529999,24280300,0,0.0004272048482210166,-1,-1,-1,-1,-1
20,2017-02-24,36.139999,36.529999,35.950001,36.529999,36.18,17538100,0,0.00037670696737228496,0,-1,-1,-1,-1
21,2017-02-23,36.240002,36.299999,35.900002,36.18,36.07,23591200,0,0.0005419090522541268,1,1,0,0,-1
22,2017-02-22,36.34,36.400002,35.790001,36.07,36.52,33969900,0,7.68534568912725e-06,0,1,1,0,0
23,2017-02-21,36.529999,36.650002,36.330002,36.52,36.48,24793100,0,-7.459335643995514e-05,-1,-1,0,0,-1
24,2017-02-17,36.32,36.48,36.099998,36.48,36.41,14063400,0,4.439110164987468e-05,0,-1,-1,0,0
25,2017-02-16,36.18,36.560001,36.099998,36.41,36.049999,18515100,0,0.0005479148588594325,0,0,-1,0,0
26,2017-02-15,35.98,36.060001,35.669998,36.049999,35.93,22509000,0,0.00035832629843944927,1,1,1,0,0
