Id,Date,Open,High,Low,Close Price,Prev Close Price,Volume,Momentum of Close Price,Volatility of Close Price,Day1,Day2,Day3,Day4,Day5
0,2017-03-24,842.0,844.0,829.099976,835.140015,839.650024,1437200,0,-0.0007729204876620886,1,1,1,1,1
1,2017-03-23,841.390015,841.690002,833.0,839.650024,849.799988,948100,0,-0.0005469696077153152,-1,-1,1,1,1
2,2017-03-22,849.47998,855.349976,847.0,849.799988,850.140015,1437000,0,-0.00046328193990728374,-1,-1,-1,-1,0
3,2017-03-21,870.059998,873.469971,847.690002,850.140015,867.909973,1515500,0,-0.0008316855641863736,-1,-1,-1,-1,-1
4,2017-03-20,869.47998,870.340027,864.669983,867.909973,872.369995,1934600,0,-0.0011787428198030193,-1,-1,-1,-1,-1
5,2017-03-17,873.679993,874.419983,868.369995,872.369995,870.0,2092600,0,-0.0011330513452758385,-1,-1,-1,-1,-1
6,2017-03-16,870.530029,872.710022,867.52002,870.0,868.390015,3285200,0,-0.0010239919020243596,1,-1,-1,-1,-1
7,2017-03-15,867.940002,869.880005,861.299988,868.390015,865.909973,1358000,0,-0.0007518350375018093,1,1,-1,-1,-1
8,2017-03-14,863.75,867.580017,860.130005,865.909973,864.580017,2515200,0,-0.0006737975750338853,1,1,1,1,-1
9,2017-03-13,860.830017,867.130005,860.820007,864.580017,861.409973,1501400,0,-0.0005005316087247537,1,1,1,1,1
10,2017-03-10,862.700012,864.22998,857.609985,861.409973,857.840027,1852400,0,-0.0004844459458806642,1,1,1,1,1
11,2017-03-09,853.690002,860.710022,852.669983,857.840027,853.640015,1094700,0,-0.0003654737704610315,1,1,1,1,1
12,2017-03-08,853.119995,856.929993,851.25,853.640015,851.150024,1328300,0,-0.0002458883752442081,1,1,1,1,1
13,2017-03-07,847.26001,853.330017,845.52002,851.150024,847.27002,1057100,0,-9.881775089376908e-05,1,1,1,1,1
14,2017-03-06,846.859985,848.940002,841.169983,847.27002,849.080017,1164800,0,-0.0002778388434595573,1,1,1,1,1
15,2017-03-03,848.940002,850.820007,844.710022,849.080017,849.849976,1335200,0,-0.000320679082497153,-1,1,1,1,1
16,2017-03-02,856.309998,856.48999,848.719971,849.849976,856.75,1340500,0,-0.00034043494706089095,-1,-1,1,1,1
17,2017-03-01,851.380005,858.0,849.02002,856.75,844.929993,1028800,0,-0.00025903639756349637,-1,-1,-1,-1,-1
18,2017-02-28,847.349976,848.830017,841.440002,844.929993,849.669983,1029500,0,-0.0005195177814384196,1,1,1,1,1
19,2017-02-27,844.950012,850.669983,843.01001,849.669983,847.809998,1046300,0,-0.0005260428759304663,-1,1,0,-1,-1
20,2017-02-24,847.650024,848.359985,842.960022,847.809998,851.0,1005000,0,-0.0005750303291981912,1,-1,1,1,1
21,2017-02-23,851.080017,852.619995,842.5,851.0,851.359985,1248600,0,-0.00047346683552926044,-1,-1,-1,1,-1
22,2017-02-22,848.0,853.789978,846.710022,851.359985,849.27002,1813000,0,-0.0004763033752131985,-1,-1,-1,-1,1
23,2017-02-21,847.98999,852.200012,846.549988,849.27002,846.549988,1376500,0,-0.00037758351700907506,1,1,-1,1,-1
24,2017-02-17,841.309998,846.940002,839.780029,846.549988,842.169983,1008700,0,-0.0005037855063777571,1,1,1,1,1
25,2017-02-16,838.5,842.690002,837.26001,842.169983,837.320007,1342800,0,-0.0004069102765183029,1,1,1,1,1
26,2017-02-15,838.809998,841.77002,836.219971,837.320007,840.030029,1385800,0,-0.0004684682742595471,1,1,1,1,1
27,2017-02-14,839.77002,842.0,835.830017,840.030029,838.960022,1224400,0,-0.00043268187035645946,-1,1,1,1,1
28,2017-02-13,837.700012,841.73999,836.25,838.960022,834.849976,1260300,0,-0.0004116043113754225,1,-1,1,1,1
29,2017-02-10,832.950012,837.150024,830.51001,834.849976,830.059998,1459100,0,-0.0002967672144776315,1,1,1,1,1
30,2017-02-09,831.72998,831.97998,826.5,830.059998,829.880005,1004100,0,-0.0003139802462647938,1,1,1,1,1
31,2017-02-08,830.530029,834.25,825.109985,829.880005,829.22998,1353000,0,-0.0002025608272619909,0,1,1,1,1
32,2017-02-07,825.5,831.919983,823.289978,829.22998,821.619995,1296300,0,-9.140252040631392e-05,1,1,1,1,1
33,2017-02-06,820.919983,822.390015,814.289978,821.619995,820.130005,1294300,0,-0.0001819891243657602,1,1,1,1,1
34,2017-02-03,823.130005,826.130005,819.349976,820.130005,818.26001,1412800,0,1.3753258425015464e-05,1,1,1,1,1
35,2017-02-02,815.0,824.559998,812.049988,818.26001,815.23999,1192000,0,6.825941486908846e-05,1,1,1,1,1
36,2017-02-01,824.0,824.0,812.25,815.23999,820.190002,1300600,0,-0.00014790723356478922,1,1,1,1,1
37,2017-01-31,819.5,823.070007,813.400024,820.190002,823.830017,1664800,0,-0.0002696795692324552,-1,-1,0,1,1
38,2017-01-30,837.059998,837.22998,821.030029,823.830017,845.030029,1341400,0,-0.0006165962941971479,-1,-1,-1,-1,-1
39,2017-01-27,859.0,867.0,841.900024,845.030029,856.97998,1524400,0,-0.0007376831264589753,-1,-1,-1,-1,-1
40,2017-01-26,859.049988,861.0,850.52002,856.97998,858.450012,1684000,0,-0.0007113496292089784,-1,-1,-1,-1,-1
41,2017-01-25,853.549988,858.789978,849.73999,858.450012,849.530029,2244300,0,-0.0007452494112182883,-1,-1,-1,-1,-1
42,2017-01-24,846.97998,851.52002,842.280029,849.530029,844.429993,2015400,0,-0.000703004441321279,1,1,-1,-1,-1
43,2017-01-23,831.609985,845.539978,828.700012,844.429993,828.169983,3512000,0,-0.00034676878555152103,1,1,1,1,-1
44,2017-01-20,829.090027,829.23999,824.599976,828.169983,824.369995,3749600,0,-0.0004396100156268115,1,1,1,1,1
45,2017-01-19,829.0,833.0,823.960022,824.369995,829.02002,3076800,0,-0.00029992540289872733,1,1,1,1,1
46,2017-01-18,829.799988,829.809998,824.080017,829.02002,827.460022,1655400,0,-0.0002077429713181978,-1,-1,1,1,1
47,2017-01-17,830.0,830.179993,823.200012,827.460022,830.940002,1686200,0,-0.00025405909105281297,1,-1,1,1,1
48,2017-01-13,831.0,834.650024,829.52002,830.940002,829.530029,2453600,0,-0.0003885296806334657,-1,-1,-1,-1,1
49,2017-01-12,828.380005,830.380005,821.01001,829.530029,829.859985,1277300,0,-0.00046921949198010633,1,-1,-1,-1,-1
50,2017-01-11,826.619995,829.900024,821.469971,829.859985,826.01001,1068500,0,-0.00043943402908200546,-1,1,-1,-1,-1
51,2017-01-10,827.070007,829.409973,823.140015,826.01001,827.179993,1026000,0,-0.0004260525560510258,1,1,1,1,1
52,2017-01-09,826.369995,830.429993,821.619995,827.179993,825.210022,1439700,0,-0.0003448712130056544,-1,1,1,1,1
53,2017-01-06,814.98999,828.960022,811.5,825.210022,813.02002,1288000,0,-0.00021703917067148783,1,1,1,1,1
54,2017-01-05,807.5,813.73999,805.919983,813.02002,807.77002,1349500,0,-0.00017218458121319409,1,1,1,1,1
55,2017-01-04,809.890015,813.429993,804.109985,807.77002,808.01001,1320200,0,-0.00014319022159460415,1,1,1,1,1
56,2017-01-03,800.619995,811.440002,796.890015,808.01001,792.450012,1194500,0,0.00011264189178972098,0,1,1,1,1
57,2016-12-30,803.210022,803.289978,789.619995,792.450012,802.880005,1406800,0,-2.8578076540160847e-05,1,1,1,1,1
58,2016-12-29,802.330017,805.75,798.140015,802.880005,804.570007,2017100,0,-1.4322446761592901e-05,-1,1,1,1,1
59,2016-12-28,813.330017,813.330017,802.440002,804.570007,809.929993,1340500,0,-4.5269783020647104e-05,-1,-1,1,1,1
60,2016-12-27,808.679993,816.0,805.799988,809.929993,807.799988,1515300,0,2.090697882398816e-05,-1,-1,-1,-1,-1
61,2016-12-23,808.01001,810.969971,805.109985,807.799988,809.679993,1959000,0,-6.330646271507874e-05,1,-1,-1,-1,0
62,2016-12-22,809.099976,811.070007,806.030029,809.679993,812.200012,1735900,0,-3.1736410138899475e-05,-1,0,-1,-1,-1
63,2016-12-21,815.719971,815.719971,805.099976,812.200012,815.200012,1057400,0,-5.7750735023367604e-05,-1,-1,-1,-1,-1
64,2016-12-20,813.369995,816.48999,811.0,815.200012,812.5,1214800,0,-5.116759682134241e-06,-1,-1,-1,-1,-1
